,place_name,place_category_detail,comment_user,comment_star,comment_time,comment_content
27,어니언 안국점,카페,MK,80,2023.06.18.,"어니언 안국점은 실망. 저녁이어서 그런지 몰라도 딸기생크림크라상만 잔뜩… 그런데 이게 맛이 별로였음. 
차이티도 영…
어니언 안국점은 다시는 안 가는 걸로…"
28,어니언 안국점,카페,유시연,100,2023.06.14.,
29,어니언 안국점,카페,Eichxie,60,2023.06.10.,"No skim milk was available considering they are one of the popular cafes in Seoul and asked them to change the milk of my ice mocha to almond milk, but according to them can not change it after we order. Instead, they return the 1,000 I pay for milk."
30,어니언 안국점,카페,기쁘다,80,2023.06.08.,
31,어니언 안국점,카페,수정(Jessie/July),100,2023.06.03.,"분위기 좋고 . 커피. 빵 다 맛있어요

한옥카페 아메리카노"
32,어니언 안국점,카페,박주영,80,2023.06.03.,좌석안내때도 웨이팅있고 빵/커피주문할때도 웨이팅있어요ㅠㅠ
33,어니언 안국점,카페,두희,80,2023.05.31.,빵  맛있고 커피도 무난.. 그치만 웨이팅이 길고 사람이 진짜 많아요 🥲
34,어니언 안국점,카페,멈뭉,100,2023.05.30.,빵은 맛있는데 커피는..ㅎ 친절하고 좋아요 너무 예뻐요
35,어니언 안국점,카페,이상준,100,2023.05.29.,"아보카도빵 맛있었어요. 근데, 웨이팅은 극악인 곳. 하지만, 기다려서 먹을 만한 곳."
36,어니언 안국점,카페,Tei 🦢,100,2023.05.29.,
37,어니언 안국점,카페,lunalunameluna,80,2023.05.28.,
38,어니언 안국점,카페,프리메이커,100,2023.05.23.,오랜만에 와도 좋은 이곳 :)
39,어니언 안국점,카페,사람,100,2023.05.22.,맛도 너무 좋고 모두들 친절해요!!!
40,어니언 안국점,카페,린,60,2023.05.19.,"원두 로스팅이 덜 된 건지 커피에서 생두 비린맛이 났어요. 원두 판매도 하시던데… 😅
빵 맛은 대체적으로 괜찮고, 특히 직원분들이 친절하세요. 매장 예뻐요! 본점보다 안국이 낫네요."
41,어니언 안국점,카페,민주,100,2023.05.15.,
42,어니언 안국점,카페,임현,80,2023.05.13.,분위기는 특이하고 좋아요..조금 오픈된 공간..자갈..애들 뛰어다니고..산만하긴 해요..
43,어니언 안국점,카페,현주야,80,2023.05.13.,"저녁에 야외 테이블에 있었는데 선선하니 좋았어요
주말에는 웨이팅 때문에 꺼려졌었는데
역시 사람이 많지 않으니까 좋더라구요 !
커피도 고소하니 맛있었어요 !!"
44,어니언 안국점,카페,현광덕,60,2023.05.11.,"빵과 한옥 분위기때문에 자주 방문하는데
요즘은 갈때마다 빵위에 날파리들이 눈에 띄어 빵맛이 다소 떨어짐 감성도 좋지만 오픈된 공간인만큼 빵에 덮개 좀 해주시면 안될까유"
45,어니언 안국점,카페,김주혜,100,2023.05.04.,
46,어니언 안국점,카페,박혜영,80,2023.05.03.,
47,어니언 안국점,카페,오징어약사,60,2023.05.03.,
48,어니언 안국점,카페,오월,60,2023.04.18.,
49,어니언 안국점,카페,어싱싱해,40,2023.04.02.,로비에 쥐가 돌아다녀요...리뷰에 참새 목격글도 있던데 날잡고 세스코 한 번 부르시는게.....
50,어니언 안국점,카페,으앙,60,2023.03.26.,"기다려서 사갈 정도는 아니나 안국와서 유명한 집 들른다는 맘으로 들렀습니다 건대점이 대기는 더 적어서 빵만 목적이면 다른 지점이 나은 것 같고, 앉아서 먹고가는거라면 분위기 즐기겠다고 생각하면 👌 토요일 점심즈음 포장만 하는데 한시간 걸렸어요"
51,어니언 안국점,카페,ㅎ,60,2023.03.25.,분위기는 좋은데 애들 소리치고 뛰어다니고 울고불고 자갈던지고 노는건 직원이 관리를 좀해야할듯 여러사람 눈살찌부리게 만드네. 밤에 분위기 작살다는데 애 한명땜 문에 키즈카페됨.
52,어니언 안국점,카페,김세연,20,2023.03.25.,"빵을 발 밑에 보관하고 원두도 오래된 맛.
회전율이 이렇게 좋은데 커피가 이렇게 맛없을 수 있나..
외국인들 많이 오는데 좀 너무하네."
53,어니언 안국점,카페,기억 남는 곳만 후기 씀,80,2023.03.20.,
54,어니언 안국점,카페,김민지,100,2023.03.04.,사람은 진짜 많은데 빵 가성비잇고 맛있어요 직원분들도 넘넘 친절하세여!! 설날에 갔는데 분위기도 좋구여
55,어니언 안국점,카페,케일라,100,2023.03.02.,"1월말에 방문했는데 지금까지 계속 소금빵 생각이 나서 이제야 리뷰 남깁니다,,,요즘 소금빵 팔지 않는 빵집이나 카페 찾기 어렵지만 제가 먹어본 수많은 집의 소금빵중엔 어니언 소금빵이 가장 맛있었습니다,,,부산 사는데 그 소금빵만 먹으러 서울 놀러가고싶다,,, 다른 빵들도 맛있었고 음료는 무난했어요. 사람 많지만 자리도 많고 한옥 분위기가 좋아요~"
56,어니언 안국점,카페,Coffee,100,2023.03.01.,
57,어니언 안국점,카페,ㅁㅁ,20,2023.02.23.,맛이 왜 이렇게 됐지 …
58,어니언 안국점,카페,친친,60,2023.02.21.,"커피. 빵 다 맛있어요.
소금빵 하나 먹었는데 맛있었어요.
자리는 그저그랬는데(큰 방에 그냥 소반 여러 개 둔 모양새입니다) 맛은 있어서 다시 갈 만한 곳이긴 합니다.
입장시 웨이팅이 조금 있었고. 그건 괜찮은데 자리 앉고 주문할 때도 웨이팅이 있네요. 주문 후 이름으로 불러주신다 해서 다시 자리에 가지도 못하고 포스 근처에서 서있어야 해요. 음료가 나오는 게 늦어요ㅜ
진동벨이 있는 편이 더 낫지 않을까 합니다. 아니면 방송으로 불러주시던가.
더보기"
59,어니언 안국점,카페,장윤지,60,2023.02.20.,"고즈넉한 한옥 분위기는 정말 좋습니다 다만 빵가격이 사악하고 사람들 많이 지나다니는 길에 빵을 배치해두어 그나마 겨울이라 괜찮지 여름에는 정말 찝찝할 거 같습니다… 덮개라도 덮어두셔야 할 거 같습니다.. 개인적으로 단호박 카스테라 정말 놀랐습니다 단맛이 없고 꾸덕찌근한 단호박 맛을 그대로 살린 빵을 첨 맛보는 거 같았습니다 맛있었어요! 그리고 직원분들은 사람이 많고 정신이 없음에도 최선의 서비스와 친절을 전달해주실려는게 느껴졌습니다
더보기"
60,어니언 안국점,카페,솔직히말해서,80,2023.02.19.,빵은 다 맛있어요. 커피맛은 조금 아쉬워요. 분위기 너무 좋고 사람많아서 자리싸움 눈치싸움.. 날 좋은날 야외 테이블 있으면 좋아요
61,어니언 안국점,카페,뜌,20,2023.02.19.,"시스템의 근본적 개선이 필요해보입니다.
1) 웨이팅 줄을 포장/매장식사로 구분해놨으면 안에선 웨이팅을 최소화했으면 좋겠습니다.
기다려서 들어갔는데 계산줄이 또 기니까 두 번 기다리는 셈이 됩니다.

2) 기다릴 때 볼 수 있는 메뉴판을 비치하고 계산 인원을 늘렸으면 좋겠습니다.
계산인원은 한 명...기다려서 가면 메뉴판이 계산대 앞에 하나라 커피 메뉴를 또 계산대 앞에서 고르고있고...
이름을 불러주는 시스템이 왜 필요한가요? 외국 스벅시스템을 차용한건지 친근감을 주고싶었던건지 모르겠지만 위치적 특성때문에 외국인 손님이 많을 수 밖에 없고 응대인원이 적은데 왜 이 시스템이 필요한지 고민할 필요가 있을 것 같아요. 
다양한 국가의 다양한 이름을 귀기울여서 적어도 제대로 적기힘든데...과연 효율적인지 원하던 효과가 나올지 모르겠어요. 
음료가 나와서 이름을 불러줄때까지 마냥 조리대앞에서 고객들이 기다리고 있으니...한 매장에서 웨이팅을 3번 하는 셈이 되네요. 

 3) 빵 dp
타 지점에서는 빵을 손님 본인이 가져오는 시스템이 아니고 점원이 담아주더라구요. 다른 빵은 모르겠지만 시그니처인 팡도르는 고객 본인이 가져오면 비주얼을 해칠 가능성이 높아보입니다. 고객도 불편하고 포장하는 점원도 불편한....

상당히 오래되고 유명한 지점인데 생긴지 얼마안된 다른 지점보다 이용이 불편한 점이 많네요. 개선이 되었으면 좋겠어요.
더보기"
62,어니언 안국점,카페,ㅎㅅ홀릭,100,2023.02.13.,빵 따뜻할 때 먹으면 진짜 최고임
63,어니언 안국점,카페,ㅇ,60,2023.02.12.,"벌레가 넘무 많아요.... 야외에서 자꾸 들어오는 거 같음 그리고 빵에 덮개 좀 해주세요 개별 포장이라도,,, 글구 계산 동선 좀 비효율적인 느낌임
하지만 빵은 맛있는 편이고 저녁 때 분위기 작살남"
64,어니언 안국점,카페,미식조무사,60,2023.02.08.,"미각구조대를 자처하며 리뷰한 줄 써봅니다.
[[프라나 차이 밀크티]]<—이 메뉴 주의하세요제발!
집들이 선물로 받은 디퓨저를 입에 때려넣는 맛과 향이라고 볼 수 있습니다. 
그 외에 분위기는 괜찮고 사람이 많습니다."
65,어니언 안국점,카페,애효,80,2023.01.20.,
66,어니언 안국점,카페,cercle,80,2023.01.20.,
67,어니언 안국점,카페,둔아,100,2023.01.19.,"3-4번 가봤어요. 빵이 맛도리거든요ㅎㅎ
먹물치즈빵이랑 소금빵 너무 맛있어요. 
근디 음료는,,ㅠ 코코넛라떼는 너무너무 밍밍하고 차이라떼는 향식료가 굉장히 강해요.
아아 추천드립니다ㅎㅎㅎㅎ,,"
68,어니언 안국점,카페,고닝,80,2023.01.15.,"마루에 앉았는데 위에 히터가 많이 달려있어서 따뜻했어요
베이커리 류는 아쉬웠네요"
69,어니언 안국점,카페,코드깎는노인,100,2023.01.02.,"모름지기 카페는 분위기로 가는 곳이 아닌가? 감히 강력하게 추천하건대 달이 아름답게 뜬 저녁에 방문해서 따뜻한 커피 한잔 마시며 마루에 걸터앉아 있노라면, 옛날 사람들의 달밤의 여유는 어땠을까 상상하게 된다."
70,어니언 안국점,카페,여행마니아,20,2022.12.24.,"구시대 카페
코코넛라떼 무슨 맛?
물맛! 깊은 맛 전혀 없음
6,500원? ㅎㄷㅎㄷ
분위기만 좋지
신발 벗고 들어가서 앉는다는게 불편
더보기"
71,어니언 안국점,카페,제이미,80,2022.12.20.,"주말에 가서 그런지 모르겠지만... 좌석 찾기 힘듦
1) 크루아상 맛있음
2) 초크라떼 별로"
72,어니언 안국점,카페,신우재,20,2022.12.06.,"그냥 헛웃음만 ㅋㅋ
친절하다는게 가식으로 오해하고있는거같네요."
73,어니언 안국점,카페,즐거운너구리,80,2022.11.30.,"한옥 분위기 좋고 빵도 종류 많았습니다
좌석도 꽤 많아서 사람 많지만 앉을수있었어요(평일이라!)
팡도르 빵과 커피 마셨는데 맛있었어요
엄철 바쁜데도 직원분들 친절하셔서 좋습니다"
74,어니언 안국점,카페,햰,60,2022.11.27.,분위기 좋아요! 맛은 평범??
75,어니언 안국점,카페,윈터필드,100,2022.11.20.,"세상에 이렇게 바쁜데 직원들 너무 친절 ~~~
힘들게 줄 선 보람이 있네요 
사장님은 직원들 월급 많이 주셔야 할 듯 ~~"
76,어니언 안국점,카페,좋아요,100,2022.11.19.,
77,어니언 안국점,카페,파워I,100,2022.11.18.,분위기도 좋고 커피랑 빵이 맛있어요
78,어니언 안국점,카페,매일매일,80,2022.11.14.,줄이 길지만 커피가 맛있네요
79,어니언 안국점,카페,옹,100,2022.11.13.,목요일 저녁에 갔었는데 계산 받아주시는 직원분이랑 일하시는 직원분들이 다들 너무 친절하셔서 감사했습니다 며칠 지났는데 아직도 기억에 남아서 리뷰 남겨요
80,어니언 안국점,카페,냉정평가단,20,2022.10.31.,커피도 맛없고 사람많아서 인테리어가 안보이는 느낌 빵도 맛없고 그냥 외국인 장사
81,어니언 안국점,카페,이깊은샘,80,2022.10.22.,"주말에 가시려고 하신다면 
도시락싸들고 말리고 싶네요
평일에 서울 나들이 올일있으몀 오세요
주말엔 가게 동선이 그지같아서
입구에서 기다리고 
들어와서 빵고르고 
커피 주문까지 한시간 걸립니다 
분위기는 확실히 좋아요
직원들도 나긋나긋 친절하고요
평일이라면 다시올거같아요
더보기"
82,어니언 안국점,카페,jj,20,2022.10.18.,"결론 : 테이크아웃이면 몰라도 재방문의사 없음

1. 커피는 맛있지만 
2. 자리 너무 불편해요. 의자 테이블도 있지만 자리가 잘 나진 않아서 ㅎ.. 좌식상이 그냥 바닥에서 10cm . 교자상이면 차라리 나을듯. 
3. 대기줄긴데 이름불러서 빵 받아가는 시스템이라 앞에 다 받으려고 줄서있음. 평일점심기준 계산후 메뉴받기까지 20분정도 소요. (주말은 한시간이상이라더라) 자리 앉는건 별개.
더보기"
83,어니언 안국점,카페,정직한냥이,100,2022.10.17.,사람 정말 많고 바빠보이지만... 웨이팅 있지만... 포장해온 보람이 있는 맛입니다. 제빵기사 친구도 맛있다고 인정했어요. 다음에는 안 밀릴 때 가고 싶네요!
84,어니언 안국점,카페,Jaimie,80,2022.10.10.,"Squid ink cheese bread and chai tea latte was delicious. The line is very long, though, and many things were sold out."
85,어니언 안국점,카페,동동,60,2022.10.08.,주말에 갔더니 빵 사고 커피 받는데 한 시간 걸림. 계산 동선이 너무 비효율적인 거 같은데 개선이 필요할듯합니다…. 빵 줄 따로 커피 줄 따로 하던지…… 중간에 새치기 하는 사람도 있는데 관리도 안 되고ㅠ 그냥 분위기 느끼러 가긴 좋은데 주말엔 사람이 많아서 메리트가 없는 거 같아요. 직원들은 친절해요.
86,어니언 안국점,카페,MBK,80,2022.10.07.,
87,어니언 안국점,카페,솔직평가,60,2022.10.04.,너무 멋진곳이지만 사람이 너무 많아 줄은 길고 진동벨이 아닌 무조건 앞에서 기다려야합니다.  요즘 관광객 늘면서 화장실 소변테러 다시 시작이네요. 특히 중국어 쓰시는 분들..    ㅜㅜ
88,어니언 안국점,카페,맛있으면 멍멍,60,2022.10.01.,분위기가 좋았는데 맛은 좀 아쉬웠어요~ 하지만 직원분들이 친절하심👍👍
89,어니언 안국점,카페,꺄랄루,80,2022.09.17.,굉장히 맛있고 . . 날파리가 가득한 빵..
90,어니언 안국점,카페,맛따라,100,2022.09.15.,안국역 근방+대형한옥카페라서 값비싸고 실속없는 메뉴일거라 생각했는데 평타이상은 하는 맛이에요 직원분들도 친절하고 빵이 개별포장이나 덮개 없는건 아쉽습니다 벌레 적은 계절에 가야해요
91,어니언 안국점,카페,anna.ma.we,100,2022.09.13.,바리스타들은 정말 친절하고 음료수도 너무 맛있어요.
92,어니언 안국점,카페,뚱도리,100,2022.09.05.,최고예요
93,어니언 안국점,카페,과민성 대장남,80,2022.09.05.,몽환적인 안쪽 분위기가 참 좋아요
94,어니언 안국점,카페,한석초이,100,2022.09.04.,"카페 내 뷰는 말할 것 없이 최고입니다. 사람들이 많이 찾는 곳은 다 이유가 있네요😄
빵도 정말 맛있습니다
소금빵은 천천히 맛을 음미하면서 먹어야 맛있어요. 처음 빵을 씹을 때 느껴지는 짭짤함을 유지한 채로 계속 씹다보면 어느새 짭짤함이 고소함으로 바뀌며 맛이 풍부해집니다.
크로아상은 첫 식감은  바삭하지만 내부는 쫀득하여 겉바속촉의 느낌이 나네요.
더보기"
95,어니언 안국점,카페,핫둘셋,60,2022.09.04.,"한옥 분위기 정말 좋음!!!
직원분 친절!!!
차이티 향이 특이함,,
빵은 맛없음 밀가루맛! (커스터드 사먹는게 맛있을것 같음 ㅠㅠ ㅈㅅ..)
빵 목적 아니면 카페 추천 !
더보기"
96,어니언 안국점,카페,하늘다이스,100,2022.09.03.,직원분들까지 친절하시구 모든게 완벽한 카페 :)
97,어니언 안국점,카페,ㅋㅆㅇ,80,2022.09.03.,
98,어니언 안국점,카페,멍,100,2022.09.02.,"어니언에 내리쬐는 가을 햇살이 너무 좋아요 :) 아이스 바닐라빈 라떼(+귀리 우유 변경)도 곁들여마셨는데 너무 좋았어요. 직원분들도 너무너무 친절하셔서 덩달아 기분이 좋더라구요, onion의 니즈처럼 어니언에서 보낸 시간이 휴식이기도 하고 함께한 사람들과의 새로운 대화들로 스스로 순환이 되어진 것 같아서 좋은 시간, 좋은 공간이었습니다."
99,어니언 안국점,카페,먹고노는게제일좋아,60,2022.08.28.,"아메리카노는 연한 편, 아이스초코는 약간 밀크티향 같은 게 있어 당황스러운 맛...  빵은 팡도르 맛있었어요! 주말 저녁엔 사람이 많다보니 소란스러워서 목소리 크게 해야 대화할 수 있었어요 한옥카페 굳"
100,어니언 안국점,카페,wa,80,2022.08.26.,"야외카페는 역시 봄,가을에 좋네요ㅎ
한결같지만..빵 덮개 또는 개별포장은 역시 동의하는 바 입니다ㅠ
꼭 리뷰 보시게 된다면 개선 부탁드려요.."
101,어니언 안국점,카페,맛 없으면 전화 걸어,80,2022.08.06.,"분위기 좋은데 사람이 좀 많다
그래도 자리가 많아서 일행과 대화하기엔 무리가 없다"
102,어니언 안국점,카페,별점 평균이 2.5인 사람,80,2022.08.04.,"인스타 갬성용 카페 맞고 
인싸가 아닌 그럴싸들의 집합소인데
신기하게도 빵은 맛있고 종류가 다양하다"
103,어니언 안국점,카페,백선재,20,2022.07.31.,
104,어니언 안국점,카페,HJ,100,2022.07.31.,
105,어니언 안국점,카페,고니니니니,100,2022.07.30.,"디카페인 무료라서 굿
카페도 분위기 있고, 다들 친절하셔서 기분이 좋아졌다. 유명 카페답지 않은 친절함에 놀랄 정도였다. 디저트는 먹을만 했다."
106,어니언 안국점,카페,허지환,100,2022.07.19.,"정말 필요이상으로 친절하시고
빵도 필요이상으로 값싸고 맛있어요
건물도 예쁘고 뒷간에 단풍나무랑 그 어두운 분위기가
취향저격이었습니다.
북촌올때마다 여긴 꼭 들르는걸로...
더보기"
107,어니언 안국점,카페,waoo,100,2022.07.19.,팡도르... 가루가루열매... 나중에 매장에서 꼭 먹어보겠어요. 커피 맛있고 직원분들 매우 친절합니다.
108,어니언 안국점,카페,🍑,40,2022.07.13.,"걍 소금빵 크기가 커서 유명한 듯
버터 향이나 맛 너무 없고
다른 빵집들에서 파는 작은 소금빵들에 비해 푸석푸석함"
109,어니언 안국점,카페,평가,60,2022.07.05.,
110,어니언 안국점,카페,현재,100,2022.06.29.,리뷰 처음 남겨 보는데 사장님 너무 친절하셔서 별점 만점 남겨요!
111,어니언 안국점,카페,참트루,60,2022.06.20.,
112,어니언 안국점,카페,망정,60,2022.05.31.,사람많아서 항상 밖에 앉음....
113,어니언 안국점,카페,dlrjsanjel,60,2022.05.15.,
114,어니언 안국점,카페,뉴,80,2022.05.13.,
115,어니언 안국점,카페,박상우,60,2022.05.08.,
116,어니언 안국점,카페,디니,100,2022.05.06.,"넓고 분위기 좋음
줄은 김"
117,어니언 안국점,카페,호그와트 미식가,80,2022.05.04.,"빵 생각보다 괜찮았고, 건물도 예쁨. 직원분들 친절하심."
118,어니언 안국점,카페,Laura,100,2022.04.26.,"A really beautiful and traditional café place I really liked. We sit on a cushion on the floor, korean style its really nice. Theres a lot of choice of cakes thats really good"
119,어니언 안국점,카페,케이,40,2022.04.09.,분위기는 좋으나 좌식으로 앉는 자리였으면 더 좋았을거 같아요. 유명하데서 웨이팅을 거의 한시간 했는데 빵 맛은 기대이하 그냥 밀가루 씹는맛
120,어니언 안국점,카페,마법소녀,80,2022.04.07.,카페가 분위기 이쁘지만 빵을 세균과 바이러스 으로부터 덮을 수 있다면 더 좋을 것어요.
121,어니언 안국점,카페,모디아,40,2022.04.06.,팡도르는 빵에서 오래된 냄새나고 바나나커스터드 빵은 바나나에서 상한냄새나고 소금버터빵이 제일 ㄱㅊ
122,어니언 안국점,카페,평점인플레유발자,100,2022.04.05.,직원분들 친절하시고 인테리어 예쁘고 빵 맛있음
123,어니언 안국점,카페,수,100,2022.03.24.,"단발머리 여성 직원분 너무 친절해서 인상적이었어요. 유명한 카페 많이 가 봤는데 서비스까지 인상적인 곳은 드물어서 더 기억나네요. 오전에 이미 커피를 마셔서 주문할 때 샷 하나만 넣어달라고 부탁드렸는데, 남은 샷 하나를 예쁜 머그에 따로 주시더라구요. 연한 커피도 고객마다 취향이 달라 혹시 밍밍하면 더 부어 먹으라구요~ 큰 규모의 북적이는 카페에서 이런 작은 디테일까지 신경쓰다니 놀라웠어요. 빵도 정말 맛있었습니다. 소금빵은 기본을 잘 지킨 쫀득고소였고, 잠봉뵈르는 요즘 엄청 비싸게 받던데 여기는 의외로 저렴한 편이었어요. 맛도 아주 좋았구요. 평일이지만 사람이 정말 많은 이유가 있었습니다.
더보기"
124,어니언 안국점,카페,고양,100,2022.03.19.,다 맛있어요  대기시간이 길어서 그렇지 공간이 넓어서 분위기 넘 좋아요!!
125,어니언 안국점,카페,mmm,100,2022.03.18.,"금요일 한낮 카페가 붐비는데도 직원분들이 한명한명 정말 친절 상냥하고 활기 가득이었어요
응대받는 손님이 기분이 좋아질 정도였음!
팡도르는 신세계였고 빵 자체가 담백쫄깃했음
다른 빵들도 빵 자체의 맛이 뛰어났고, 버터 가득이어도 부담스럽거나 느끼하지 않았어요. 
초코케이크는 꾸덕해보이는 것에 비해 설탕대신 카카오를 많이 쓰시는지 덜 달고 건강한 맛ㅋㅋ
빵 포장하러 자주 올 예정입니다
커피 밀크티는 평타… 나쁘진 않음
아쉬운 점은 밀려드는 손님 대비 직원수가 모자란 건지 테이블이나 바닥 등 매장 청소가 부족했어요
그래도 근처 온다면 꼭 들릴 집! 빵수니라면 꼭꼭
더보기"
126,어니언 안국점,카페,풀뜯는소리,80,2022.03.17.,"평일 오후 한옥에서 즐기는 여유. 커피도 빵도 괜찮고 음악도 적절하다. 그러나 지속가능성(sustainable)을 이야기하면서 일회용 컵과 포크, 나이프를 내어주는 것은 어딘가 모순적이다."
127,어니언 안국점,카페,chocolate cookie,20,2022.03.13.,"참새,,"
128,어니언 안국점,카페,맛집찾는산토끼,100,2022.03.13.,고즈넉한 한옥의 감성과 잔잔한 음악이 좋았던 곳이었습니다. 아메리카노도 슴슴해서 빵과 잘 어울릴 것 같았어요.  비오는 날 한옥 감성 제대로 느끼고 갑니다.
129,어니언 안국점,카페,김병민,80,2022.03.09.,괜찮은 카페라며 한번 가보라해서 가봤더니 괜찮네요...한옥카페라 색다른 분위기도있고 모두 먹어볼순 없었지만 내가 고른빵들은 맛있었음! 앉아있는데 평일임에도 계속 사람들이 줄줄이 들어오는데 주말엔 대기줄이 길듯...직원들 반갑게 인사도하고 친절해서 더욱 좋았음~
130,어니언 안국점,카페,shim.innkyu,80,2022.03.04.,한옥카페라 힐링되는 기분였네요..디저트 커피도 맛있었습니다^^
131,어니언 안국점,카페,.,100,2022.02.26.,
132,어니언 안국점,카페,ㅊㅍㅍ,40,2022.02.26.,가격과 명성에 비해서는 빵 맛이 별로에요.. 카페 인테리어나 분위기는 좋습니다!
133,어니언 안국점,카페,L,80,2022.02.22.,"빵이 맛있어서 종로 갈때마다 자주 가는데 사람이 너무 많아서 사먹기 불편해요..!! 지점 많이 내주세요..! 참고로 아메는 너무 밍밍했슴미당.
그리고 차 가져가면 HELL!!
But 카페 건물이 고즈넉하고 참좋아여bb"
134,어니언 안국점,카페,후기쓰는라이언,60,2022.02.21.,"앉아서 먹고 나오는 건 나쁘지 않은 경험일 듯 웨이팅 길어요 빵 맛은 무난함, 가격이 좀 비싼 감이 있음, 직원 분들이 친절해요!"
135,어니언 안국점,카페,뇽,80,2022.02.19.,유명하고 가보고싶어서 가봤는데 주말에 사람 정말 많네요~ 제주당근주스 마시고 싶어서 시켰는데 사이즈 보고 너무 놀라 소리질렀어요 ㅋㅋㅋ 맛은 정말 달고 맛있습니다. 다만 사이즈가 충격적이었는데 원래 당근 생으로 갈아주는 주스는 원래 그런가요..?ㅎ 참고하시길..ㅎ 빵 맛있어요..ㅎ
