,place_name,place_category_detail,place_adress,place_running_date,place_page,place_phone,place_tag,place_info
17,나무사이로,커피전문점,서울 종로구 사직로8길 21 1층 (우)03169,월~금 09:00 ~ 21:00,www.namusairo.com,070-7590-0885,#로스팅전문 #한옥스타일 #한옥카페 #핸드드립전문점 #제로페이,"WIFI, 동물출입, 주차, 휠체어사용, 놀이방, 흡연실"
18,포비브라이트 광화문점,카페,서울 종로구 새문안로 76 콘코디언빌딩 1층 (우)03185,월~금 07:30 ~ 20:30,fourb.co.kr,02-6744-0120,#FOURB #베이글샌드위치 #포비 #포비베이글,주차
19,H라운지,카페,서울 종로구 자하문로4길 21-9 (우)03044,화~일 10:30 ~ 22:00,www.instagram.com/seochon_hlounge,02-722-0028,#데이트코스 #브런치카페 #소개팅 #친목모임 #회식장소,주차
20,밀크홀1937 종로점,카페,서울 종로구 종로 86-1 1~5층 (우)03190,월~금 07:30 ~ 23:00,www.instagram.com/milkhall1937,070-8801-1937,#디저트카페 #루프탑있는 #제로페이,"WIFI, 동물출입, 주차, 휠체어사용, 놀이방, 흡연실"
21,카페 하이웨스트 익선점,카페,서울 종로구 돈화문로11다길 18 (우)03133,월~금 09:00 ~ 22:00,instagram.com/cafe_highwaist,None,#감성카페 #디저트카페 #빈티지분위기,"WIFI, 동물출입, 주차, 놀이방, 흡연실"
22,대충유원지 인왕산,카페,서울 종로구 필운대로 46 무목적빌딩 4층 (우)03036,월~목 12:00 ~ 21:00,www.instagram.com/daechungpark_inwangsan,070-7807-5640,None,none
23,뜰안,전통찻집,서울 종로구 수표로28길 17-35 (우)03133,화~일 11:00 ~ 22:00,instagram.com/cafe_innergarden,02-745-7420,#익선동 #익선동핫플 #데이트코스 #이동약자접근 #전통한옥 #한옥스타일 #한옥카페 #핸드드립전문점 #제로페이,"WIFI, 동물출입, 주차, 휠체어사용, 놀이방, 흡연실"
24,카페이마,카페,서울 종로구 세종대로 152 일민미술관 1층 (우)03187,월~금 11:00 ~ 19:00,None,02-2020-2088,#제로페이,"WIFI, 주차"
25,반쥴,커피전문점,서울 종로구 삼일대로17길 23 3~5층 (우)03190,월~금 11:30 ~ 22:20,www.instagram.com/banjul__cafe,02-735-5437,#데이트코스 #루프탑있는 #복합문화공간 #빈티지분위기 #소개팅 #앤틱한 #제로페이,"WIFI, 주차, 휠체어사용, 놀이방"
26,결,카페,서울 종로구 우정국로 26 센트로폴리스 1층 (우)03161,월~금 07:30 ~ 20:30,www.beanbrothers.co.kr,02-6370-5840,#까눌레 #빈브라더스 #필터커피 #핸드드립전문점,none
27,라카페갤러리,갤러리카페,서울 종로구 자하문로10길 28 1층 (우)03044,화~일 11:00 ~ 22:00,www.racafe.kr,02-379-1975,#갤러리카페 #제로페이,"WIFI, 동물출입, 주차, 휠체어사용, 흡연실"
28,로코랩,카페,서울 종로구 율곡로4길 51 (우)03144,화~금 08:30 ~ 21:00,instagram.com/locolabcoffee,02-3210-3258,#대형카페 #데이트코스 #디저트카페 #루프탑있는 #분위기좋은 #빈티지분위기 #카카오페이 #제로페이,none
29,서울서둘째로잘하는집,전통찻집,서울 종로구 삼청로 122-1 (우)03053,매일 11:00 ~ 20:30,None,02-734-5302,#제로페이,주차
30,한옥찻집,전통찻집,서울 종로구 인사동12길 9 (우)03146,매일 12:00 ~ 22:00,instagram.com/hanok.cafe_insadong,None,#한옥카페 #제로페이,주차
31,가배도 삼청점,다방,서울 종로구 북촌로5길 56-8 101호 (우)03053,매일 10:00 ~ 21:00,www.instagram.com/gbdcoffee,02-732-4542,#가배도 #삼청동카페 #안국역카페 #카페 #티라미수 #앤틱한 #제로페이,주차
32,애즈라이크,카페,서울 종로구 효자로7길 23 1층 (우)03044,월~금 08:00 ~ 18:00,www.instagram.com/aslike_,02-722-9994,#데이트코스 #브런치카페 #점심식사 #제로페이,"WIFI, 동물출입, 주차, 휠체어사용, 놀이방, 흡연실"
33,코피티암커피 경복궁점,카페,서울 종로구 자하문로4길 7 (우)03044,월~토 10:00 ~ 22:50,kopitiam.co.kr,070-7670-8837,#데이트코스 #브런치카페 #제로페이,none
34,클럽에스프레소,커피전문점,서울 종로구 창의문로 132 (우)03020,매일 09:00 ~ 22:00,www.clubespresso.co.kr,02-764-8719,#로스팅전문 #핸드드립전문점,주차
35,제이히든하우스,카페,서울 종로구 종로 269-4 1층 (우)03124,매일 12:00 ~ 18:00,www.instagram.com/j.hiddenhouse,02-744-1915,#한옥스타일 #한옥카페 #제로페이,none
36,내자상회,카페,서울 종로구 사직로10길 3 1층 (우)03169,매일 10:00 ~ 22:00,www.instagram.com/naeja_and_co,070-7755-0142,#한옥카페 #핸드드립전문점,none
37,더숲초소책방,북카페,서울 종로구 인왕산로 172 (우)03033,매일 08:00 ~ 21:50,www.forest6.co.kr,02-735-0206,#북카페 #제로페이,"WIFI, 주차"
38,헤이커피,카페,서울 종로구 대학로11길 19-4 1층 (우)03079,월~금 12:00 ~ 22:00,instagram.com/hey_____coffee,070-8811-0209,#감성카페 #디저트카페 #제로페이,none
39,카페키이로,커피전문점,서울 종로구 창경궁로26길 41-3 2층 (우)03079,목~일 12:00 ~ 20:00,www.instagram.com/ki___iro,02-747-0848,#제로페이,주차
40,타셴,북카페,서울 종로구 동숭길 113 정보빌딩 1층 (우)03086,매일 11:30 ~ 22:00,None,02-3673-4115,#디저트카페 #베이커리카페 #북카페 #브런치카페 #제로페이,주차
41,커피스트,커피전문점,서울 종로구 경희궁길 39 1층 (우)03176,월~토 09:00 ~ 21:00,coffeest.com,02-725-5557,#로스팅전문 #핸드드립전문점 #제로페이,주차
42,펠트커피 광화문점,카페,서울 종로구 종로3길 17 b2층 (우)03155,월~금 07:00 ~ 21:00,feltcoffee.com,02-2251-8010,None,주차
43,커피한약방 혜화점,커피전문점,서울 종로구 동숭2길 9 (우)03085,월~목 12:00 ~ 21:00,None,070-4200-4242,#레트로풍 #로스팅전문 #앤틱한 #이동약자접근 #핸드드립전문점,"WIFI, 주차, 휠체어사용, 흡연실"
44,KOTTON SEOUL,카페,서울 종로구 인사동12길 17 1층 (우)03146,매일 10:00 ~ 20:00,instagram.com/kotton.seoul,02-737-5865,#깔끔한 #모던한 #한옥스타일 #한옥카페 #카카오페이,"WIFI, 주차, 놀이방, 흡연실"
45,스타벅스 종로R점,스타벅스,서울 종로구 종로 51 1층 (우)03161,월~금 07:00 ~ 22:00,www.starbucks.co.kr,1522-3232,None,주차
46,카페온화 익선점,카페,서울 종로구 수표로28길 21-10 (우)03133,매일 12:00 ~ 22:00,None,None,#한옥카페 #핸드드립전문점 #카카오페이 #제로페이,none
47,미어캣파크 혜화점,테마카페,서울 종로구 대학로10길 12 6층 (우)03086,월~금 13:00 ~ 20:00,blog.naver.com/meerkatpark,02-762-7201,#고양이카페 #데이트코스 #라쿤카페 #애견동반 #애견카페 #이색데이트 #이색카페,주차
48,블루보틀 광화문 카페,카페,서울 종로구 청계천로 11 청계한국빌딩 1층 (우)03187,월~금 08:00 ~ 20:00,www.instagram.com/bluebottlekorea,1533-6906,#핸드드립전문점 #카카오페이,"WIFI, 주차"
49,스타벅스 광화문점,스타벅스,서울 종로구 세종대로 167 현대해상본사사옥 별관내 (우)03183,월~금 07:00 ~ 22:00,www.starbucks.co.kr,1522-3232,#카카오페이,"WIFI, 동물출입, 주차, 휠체어사용, 놀이방, 흡연실"
50,동백양과점 익선점,커피전문점,서울 종로구 수표로28길 17-24 (우)03133,매일 09:00 ~ 22:00,www.instagram.com/dongbaek_official,02-3144-0429,#데이트코스 #한옥카페,주차
51,대오서점,카페,서울 종로구 자하문로7길 55 (우)03036,매일 12:00 ~ 21:00,None,None,#독립서점 #북카페 #제로페이,none
52,도토리가든 안국점,카페,서울 종로구 계동길 19-8 1층 (우)03059,매일 08:00 ~ 23:00,www.instagram.com/dotori__seoul,0507-1476-1176,#카카오페이 #제로페이,"WIFI, 동물출입, 주차, 휠체어사용, 놀이방, 흡연실"
53,mk2,카페,서울 종로구 자하문로10길 17 (우)03043,매일 12:00 ~ 21:00,instagram.com/cafemk2,None,#데이트코스,주차
54,더피아노,갤러리카페,서울 종로구 평창6길 71 1층 (우)03003,화~일 11:00 ~ 19:00,www.instagram.com/thepiano_official,02-395-2480,#노키즈존 #데이트코스 #노펫존 #분위기좋은 #경치좋은,주차
55,테르트르카페,카페,서울 종로구 낙산5길 46 3~5층 (우)03091,매일 11:30 ~ 22:30,instagram.com/tertre_cafe,02-742-5689,#노키즈존 #루프탑있는,"WIFI, 동물출입, 주차, 휠체어사용, 놀이방, 흡연실"
56,마띠에르,디저트카페,서울 종로구 대학로11길 41-6 1층 (우)03079,매일 12:00 ~ 21:00,instagram.com/official_matiere_cafe,02-745-9717,#데이트코스 #디저트카페 #로스팅전문 #핸드드립전문점 #제로페이,none
57,스모어마켓 토이하우스2,테마카페,서울 종로구 율곡로3길 74-3 (우)03061,매일 11:00 ~ 20:30,www.instagram.com/smoremarket,0507-1399-0801,None,"WIFI, 동물출입, 주차, 휠체어사용, 놀이방, 흡연실"
58,베어,카페,서울 종로구 자하문로24길 24 (우)03042,수~일 11:00 ~ 19:00,www.instagram.com/bearcafe.new,070-7775-8001,#북카페 #한옥카페 #제로페이,none
59,사직커피,카페,"서울 종로구 사직로 49-4 1, 2층 (우)03028",매일 11:30 ~ 22:00,www.instagram.com/sazikcoffee,070-8845-3527,#애견동반카페 #제로페이,"동물출입, 주차"
60,어니언 4호점,카페,서울 종로구 청계천로 215 1층 (우)03195,매일 11:00 ~ 19:00,instagram.com/onion.gwangjang,070-4488-3317,#감성카페 #스탠딩바,"WIFI, 동물출입, 주차, 놀이방"
61,그린마일커피 북촌점,카페,서울 종로구 북촌로 64 (우)03056,월~금 09:00 ~ 19:00,greenmilecoffee.com,02-744-2404,#데이트코스 #루프탑있는 #한옥카페 #제로페이,none
62,식물,테마카페,서울 종로구 돈화문로11다길 46-1 1층 (우)03133,매일 12:00 ~ 23:00,www.instagram.com/sikmul,02-742-7582,#데이트코스 #레트로풍 #빈티지분위기 #수제디저트 #식물카페 #익선핫플패스 #한옥카페 #제로페이,주차
63,카페 에무,카페,서울 종로구 경희궁1가길 7 1층 (우)03176,None,www.emuartspace.com,02-730-5604,#데이트코스 #북카페 #제로페이,none
64,헤르만의정원,카페,서울 종로구 자하문로7길 62 (우)03036,"월,화,수,목,금,일 12:00 ~ 19:00",www.instagram.com/hermannsgarden,02-737-9220,#제로페이,"WIFI, 동물출입, 주차, 휠체어사용, 흡연실"
65,천년동안도 종각,라이브카페,"서울 종로구 삼일대로15길 6 지하 1, 2호 (우)03190",월~토 18:00 ~ 00:00,app.catchtable.co.kr/ct/shop/chunnyun.jonggak,010-8242-0117,#데이트코스 #라이브공연 #라이브바 #재즈바 #재즈카페 #제로페이,"WIFI, 동물출입, 주차, 휠체어사용, 놀이방, 흡연실"
66,빌리엔젤 대학로점,디저트카페,서울 종로구 대학로10길 24 스타리움빌딩 1층 (우)03086,매일 11:00 ~ 23:00,www.billyangel.co.kr,070-5051-8136,#데이트코스 #디저트카페 #제로페이,none
67,평창동의 봄 카페,디저트카페,서울 종로구 평창20길 41 1층 (우)03005,매일 07:30 ~ 21:00,None,02-395-4920,#데이트코스 #베이커리카페 #분위기좋은 #친목모임 #코스요리 #회식장소 #제로페이,주차
68,칠린,카페,서울 종로구 대학로11길 41-8 1층 (우)03079,매일 12:00 ~ 24:00,www.instagram.com/chillin_cafe_bar,None,#데이트코스 #분위기좋은 #소개팅 #칵테일바 #제로페이,주차
69,카페다오,카페,서울 종로구 대학로14길 19 (우)03084,월~금 12:00 ~ 21:00,caffedaoh.modoo.at,02-745-5560,#디저트카페 #한옥스타일 #한옥카페 #핸드드립전문점 #제로페이,"WIFI, 주차"
70,카페첫만남,카페,서울 종로구 대학로9길 12 1층 (우)03079,매일 10:00 ~ 23:00,cafefirsttime.modoo.at,02-766-2337,#스터디카페 #제로페이,주차
71,커피한잔,커피전문점,서울 종로구 사직로9길 16-1 (우)03027,월~토 12:00 ~ 21:00,blog.naver.com/hgbj78,02-722-7022,#레트로풍 #로스팅전문 #빈티지분위기 #앤틱한 #이동약자접근 #핸드드립전문점 #제로페이,"WIFI, 주차, 휠체어사용"
72,와이엔,카페,서울 종로구 윤보선길 71 1층 (우)03061,매일 11:00 ~ 21:00,www.instagram.com/yyyyynnn_cafe,02-735-6701,#제로페이,"WIFI, 동물출입, 주차"
73,하프커피 안국점,카페,서울 종로구 계동길 82 1층 (우)03057,매일 10:00 ~ 21:00,www.instagram.com/halff_coffeeroasters,070-7780-6665,#핸드드립전문점,none
74,소하염전,카페,서울 종로구 수표로28길 21-5 (우)03133,매일 09:00 ~ 21:00,www.instagram.com/sohasaltpond,0507-1353-8215,#한옥카페,"WIFI, 동물출입, 주차, 휠체어사용, 놀이방, 흡연실"
75,소진담 안녕인사동점,디저트카페,서울 종로구 인사동길 49 5층 502호 (우)03145,매일 10:30 ~ 22:00,www.instagram.com/sojindam_anyounginsadong,02-6954-2908,#디저트카페 #소진담 #안녕인사동 #인사동카페 #케이크맛집 #루프탑있는 #수제케이크 #제로페이,"WIFI, 주차, 흡연실"
76,커피브론즈,커피전문점,서울 종로구 율곡로5길 20 1층 (우)03060,월~금 09:30 ~ 18:00,www.instagram.com/coffeebronze_official,070-4231-8221,#로스팅전문 #제로페이,"WIFI, 동물출입, 주차, 흡연실"
77,더쌍화,전통찻집,서울 종로구 종로 252-18 1층 (우)03197,매일 10:00 ~ 21:30,thessanghwa.co.kr,070-5101-7755,#이색카페 #제로페이,주차
78,서화커피,카페,서울 종로구 대학로9가길 8 (우)03079,매일 11:00 ~ 22:00,www.instagram.com/seohwa_coffee,070-7543-9201,#앤틱한 #한옥카페 #제로페이,주차
79,부빙 북촌점,카페,서울 종로구 북촌로7길 3-4 1층 (우)03055,화~일 13:00 ~ 18:00 (재료소진시 조기마감),www.instagram.com/ice_boobing,02-747-8288,None,"WIFI, 동물출입, 주차, 휠체어사용, 놀이방, 흡연실"
80,플리퍼스 익선점,디저트카페,서울 종로구 수표로28길 31 1층 (우)03133,매일 12:00 ~ 22:00,www.instagram.com/flippers.kr,02-766-2526,#디저트카페 #제로페이,none
81,더마틴,디저트카페,서울 종로구 자하문로 54-1 (우)03043,월~금 12:00 ~ 21:00,www.instagram.com/the__martin__,02-738-2299,#비건푸드 #한옥카페 #제로페이,"WIFI, 주차, 휠체어사용, 놀이방, 흡연실"
82,호아드카페&갤러리,갤러리카페,서울 종로구 율곡로1길 54-3 (우)03062,화~일 11:00 ~ 21:00 (갤러리 20:00),www.instagram.com/hoard_official,02-725-1204,#갤러리카페 #데이트코스 #한옥카페 #제로페이,none
83,아티스타,카페,서울 종로구 대학로8가길 129 1층 (우)03086,화~일 11:30 ~ 22:00,instagram.com/im_artista.cafe,02-763-1150,#데이트코스 #드로잉카페 #분위기좋은 #앤틱한 #이색적인 #포토존 #제로페이,주차
84,사직동그가게,카페,서울 종로구 사직로9길 18 (우)03027,화~일 11:30 ~ 20:00,blog.naver.com/rogpashop,070-4045-6331,#비건푸드 #이국적인 #일회용품없는가게 #제로페이,주차
85,카페종로시장,카페,서울 종로구 우정국로2길 10 1층 (우)03189,월~금 08:00 ~ 22:00,instagram.com/cafe_jongno_sijang,02-732-1452,#종각디저트 #종각맛집 #종각카페 #종로디저트 #디저트카페 #제로페이,none
86,텅,카페,서울 종로구 율곡로 82 7층 (우)03131,매일 10:00 ~ 24:00,www.instagram.com/tung_seoul,02-766-1933,#제로페이,주차
87,제비꽃다방,카페,서울 종로구 창의문로 146 (우)03020,화~금 17:00 ~ 24:00,www.facebook.com/jv.davant,02-379-2741,#갤러리카페 #고양이카페 #데이트코스 #빈티지분위기 #피맥 #제로페이,none
88,스타벅스 종로3가점,스타벅스,서울 종로구 종로 113-1 1~4층 (우)03139,월~금 07:30 ~ 22:00,www.starbucks.co.kr,1522-3232,#카카오페이,주차
89,타스카페,카페,서울 종로구 동숭길 117 (우)03086,수~일 12:00 ~ 22:00,None,None,#데이트코스,동물출입
90,카페드람브르,커피전문점,서울 종로구 종로 80 2층 (우)03190,월~목 10:30 ~ 22:30,None,02-730-4306,#대형카페 #로스팅전문 #베이커리카페 #브런치카페 #제로페이,주차
91,스타벅스 경복궁역점,스타벅스,서울 종로구 자하문로4길 6 1층 (우)03044,월~금 07:00 ~ 22:00,www.starbucks.co.kr,1522-3232,#이동약자접근 #카카오페이,"주차, 휠체어사용"
92,설빙 서울종각점,설빙,"서울 종로구 종로 74 2,3층 (우)03189",매일 10:30 ~ 22:30,www.sulbing.com,02-732-6777,#카카오페이 #제로페이,none
93,투썸플레이스 광화문점,투썸플레이스,서울 종로구 새문안로 85 (우)03182,매일 07:00 ~ 23:00,www.twosome.co.kr,02-734-2368,#카카오페이,"WIFI, 주차"
94,일월일일,디저트카페,서울 종로구 창경궁로 231 2층 (우)03073,화~일 12:00 ~ 21:00,www.instagram.com/1o1o_hh,02-747-0887,#감성카페 #제로페이,none
95,그레인바운더리,테마카페,서울 종로구 삼일대로 388-7 1층 (우)03191,월~금 07:00 ~ 22:00,grainboundary21.modoo.at,None,#분위기좋은 #스터디카페,주차
96,스타벅스 인사점,스타벅스,서울 종로구 인사동길 14 (우)03163,월~토 07:30 ~ 21:30,www.starbucks.co.kr,1522-3232,#데이트코스 #카카오페이,주차
97,스타벅스 종각점,스타벅스,서울 종로구 종로 64 (우)03189,월~금 07:00 ~ 22:00,www.starbucks.co.kr,1522-3232,#카카오페이,주차
98,스타벅스 안국점,스타벅스,서울 종로구 북촌로 5-1 (우)03060,월~금 07:00 ~ 22:00,www.starbucks.co.kr,1522-3232,#카카오페이,주차
99,익선주택,카페,서울 종로구 수표로28길 17-33 (우)03133,"월,화,수,목,일 12:00 ~ 22:00",instagram.com/iksun_jutaek,None,#데이트코스 #분위기좋은 #빈티지분위기 #이동약자접근 #한옥카페 #제로페이,"WIFI, 동물출입, 주차, 휠체어사용, 놀이방, 흡연실"
100,브라운에비뉴,커피전문점,서울 종로구 혜화로3길 5 명륜주상복합아파트 301동 1층 112호 (우)03075,월~금 10:00 ~ 17:00,www.instagram.com/brown_avenue,02-762-8334,#브런치카페 #빈티지분위기 #제로페이,WIFI
101,카페온,디저트카페,서울 종로구 돈화문로11다길 17 (우)03133,매일 09:00 ~ 22:00,www.instagram.com/on_iksun,02-741-5733,#한옥카페,"WIFI, 동물출입, 주차"
102,가비아노,커피전문점,서울 종로구 대학로 122 흥사단건물 2층 (우)03086,"월,화,수,목,일 12:00 ~ 23:00",None,02-743-0794,#소개팅,none
103,회화나무,카페,서울 종로구 창덕궁길 35 3층 (우)03058,화~일 10:30 ~ 21:00,None,02-795-3500,#한옥카페 #핸드드립전문점 #제로페이,주차
104,오얏꽃,디저트카페,서울 종로구 돈화문로11다길 15 (우)03133,매일 11:00 ~ 22:00,www.instagram.com/oyatt_kkot,02-762-8233,#데이트코스 #익선핫플패스 #한옥스타일 #한옥카페 #제로페이,"WIFI, 동물출입, 주차, 휠체어사용, 놀이방, 흡연실"
105,통인스윗,디저트카페,서울 종로구 자하문로7길 50 (우)03036,매일 11:00 ~ 21:00,www.instagram.com/tonginsweet,02-6085-3777,#데이트코스 #제로페이,none
106,커피원,커피전문점,서울 종로구 새문안로3길 12 (우)03182,월~금 07:00 ~ 17:00,instagram.com/coffeeone.official,02-722-4984,#디저트카페 #제로페이,none
107,스노브 대학로점,디저트카페,서울 종로구 대학로11길 12 (우)03078,매일 11:00 ~ 23:00,None,02-747-5770,#데이트코스 #디저트카페 #제로페이,"WIFI, 주차, 흡연실"
108,아마츄어작업실 청계점,카페,서울 종로구 청계천로 97-8 (우)03191,월~금 11:30 ~ 23:00,linkfly.to/amateurcompany,010-2351-0694,#레트로풍 #빈티지분위기 #핸드드립전문점,"WIFI, 주차"
109,담장옆에 국화꽃 안녕인사동점,디저트카페,서울 종로구 인사동길 49 2층 6호 (우)03145,매일 10:00 ~ 22:00,www.instagram.com/ccot_insa,02-6954-2979,#디저트카페 #떡카페 #이동약자접근 #한식디저트카페 #제로페이,"WIFI, 주차, 휠체어사용, 놀이방, 흡연실"
110,블루보틀 삼청 한옥,커피전문점,서울 종로구 삼청로2길 40-3 (우)03053,월~금 12:00 ~ 18:00,app.catchtable.co.kr/ct/shop/bluebottlesamcheonghanok,1533-6906,#한옥카페,주차
111,폴바셋 광화문점,폴바셋,서울 종로구 종로1길 50 더케이트윈타워 1층 (우)03142,월~금 07:00 ~ 22:00,www.baristapaulbassett.co.kr,02-3701-9170,#카카오페이,주차
112,셜록홈즈 대학로점,테마카페,서울 종로구 대학로10길 5 4층 (우)03086,월~금 12:00 ~ 23:30,sherlock-holmes.co.kr,02-2277-0198,#데이트코스 #방탈출카페 #실내놀거리,none
113,티테라피 행랑점,카페,서울 종로구 윤보선길 74 1층 (우)03060,월~토 10:00 ~ 21:00,teatherapy.com,02-730-7507,#건강식 #데이트코스 #이색카페 #점심식사 #한옥카페 #제로페이,none
114,스타벅스 광화문D타워점,스타벅스,서울 종로구 종로3길 17 1층 (우)03155,월~금 07:00 ~ 22:00,www.starbucks.co.kr,1522-3232,#카카오페이,주차
115,우드앤브릭 케이트윈타워점,디저트카페,서울 종로구 종로1길 50 더케이트윈타워 B동 1층 (우)03142,월~금 07:00 ~ 21:30,None,02-730-9663,#제로페이,"WIFI, 동물출입, 주차, 놀이방, 흡연실"
116,다리치카페,갤러리카페,"서울 종로구 돈화문로5가길 22 지하1층, 1~2층 (우)03139",월~토 09:00 ~ 23:00,None,02-747-8667,#갤러리카페 #대형카페 #데이트코스 #로스팅전문 #베이커리카페 #분위기좋은 #비건베이커리 #스터디카페 #이동약자접근 #핸드드립전문점,휠체어사용
117,럼버잭,카페,서울 종로구 창의문로 151 (우)03022,화~일 12:00 ~ 00:00,None,None,#분위기좋은 #빈티지분위기 #앤틱한 #핸드드립전문점 #제로페이,none
118,스펙터,카페,서울 종로구 필운대로6길 23-1 1층 (우)03036,월~목 12:00 ~ 22:00,www.instagram.com/club_spectre,010-8314-4576,#데이트코스 #빈티지분위기 #앤틱한 #카카오페이 #제로페이,"WIFI, 동물출입, 주차, 휠체어사용"
119,그라운드62,갤러리카페,서울 종로구 평창길 62 1층 (우)03008,화~금 12:00 ~ 19:30,www.instagram.com/ground62_,0507-1442-4008,#갤러리카페 #노키즈존 #노펫존 #야외정원 #이동약자접근 #제로페이,"WIFI, 동물출입, 주차, 휠체어사용, 놀이방, 흡연실"
120,낙원역,카페,서울 종로구 수표로28길 33-5 1층 (우)03133,매일 11:30 ~ 22:30,instagram.com/nakwonst,02-763-1112,#멜론핫플리 #이색카페 #한옥카페 #회전초밥,주차
121,스페이스코르,디저트카페,서울 종로구 대학로 19 1층 (우)03129,월~금 08:00 ~ 20:00,instagram.com/space.cor,None,#감성카페 #갤러리카페,주차
122,스타벅스 혜화역점,스타벅스,"서울 종로구 대학로12길 4 1,2층 (우)03086",월~금 08:00 ~ 21:30,www.starbucks.co.kr,1522-3232,#데이트코스 #카카오페이,"WIFI, 동물출입, 주차, 휠체어사용, 놀이방, 흡연실"
123,카페알베르게,카페,"서울 종로구 필운대로 53-30 1,2층 (우)03034","화,수,목,금,일 12:00 ~ 21:00",www.instagram.com/cafealbergue,02-423-8833,#데이트코스 #서촌핫플패스 #스페니쉬풍 #이색카페 #제로페이,"WIFI, 동물출입, 주차, 휠체어사용, 놀이방, 흡연실"
124,파네트 크루아상팩토리,디저트카페,서울 종로구 사직로8길 24 (우)03174,매일 09:00 ~ 20:00,None,02-720-5570,None,none
