,place_name,place_category_detail,place_adress,place_running_date,place_page,place_phone,place_tag,place_info
39,삼청동거리,테마거리,서울 종로구 팔판동 67-1,None,None,None,#걷기좋은 #나들이 #단풍명소 #벚꽃명소 #산책로 #포토존,none
40,동대문생선구이골목,먹자골목,서울 종로구 종로40가길 5 (우)03197,None,None,None,#나들이,none
41,창의문,문,서울 종로구 창의문로 118 (우)03020,None,None,None,#걷기좋은 #나들이 #단풍명소,none
42,가회동백인제가옥,"생가,고택",서울 종로구 북촌로7길 16 (우)03055,화~일 09:00 ~ 18:00,None,02-724-0200,#나들이 #단풍명소 #포토존,none
43,청와대 춘추문,문,서울 종로구 세종로 1,None,None,None,None,none
44,청와대 영빈관,"관광,명소",서울 종로구 청와대로 1 (우)03048,None,None,None,#산책로 #포토존,none
45,동대문닭한마리골목,먹자골목,서울 종로구 종로5가 247-3,None,None,None,#나들이,none
46,세검정터,유적지,서울 종로구 세검정로 244 (우)03018,None,None,None,#산책로 #포토존,none
47,사직단,"사당,제단",서울 종로구 사직로 89 (우)03027,None,"www.cha.go.kr/korea/heritage/search/Culresult_Db_View.jsp?VdkVgwKey=13,01210000,11",None,#나들이,"동물출입, 주차, 흡연실"
48,성균관,문화유적,서울 종로구 성균관로 25-1 (우)03063,None,www.skk.or.kr,02-760-1472,#나들이 #단풍명소 #제로페이,none
49,홍화문,문화유적,서울 종로구 창경궁로 185 (우)03072,None,None,None,#나들이 #단풍명소,none
50,인왕산 숲속쉼터,"관광,명소",서울 종로구 청운동 산 4-36,화~일 10:00 ~ 17:00,None,None,#단풍명소 #봄나들이,none
51,경교장,문화유적,"서울 종로구 새문안로 29 지하1,2층 (우)03181",화~일 09:00 ~ 18:00,korean.visitkorea.or.kr/kor/bz15/where/where_tour.jsp?cid=945824,02-735-2038,#나들이,"WIFI, 동물출입, 주차, 휠체어사용, 놀이방, 흡연실"
52,명륜당,"향교,서당",서울 종로구 성균관로 25-1 (우)03063,매일 09:00 ~ 18:00,None,None,#걷기좋은 #나들이 #단풍명소 #포토존,none
53,이화장,문화유적,서울 종로구 이화장1길 32 (우)03088,None,None,02-762-3171,None,none
54,평화의소녀상,동상,서울 종로구 수송동 85-5 일본대사관 앞,None,None,None,#벚꽃명소,none
55,숙정문,문,서울 종로구 삼청동 산 25-22,화~일 09:00 ~ 16:00 (퇴장시간 18:00),www.chf.or.kr/cms/content/view/260,02-747-2152,#나들이 #단풍명소 #벚꽃명소,none
56,젊음의거리,테마거리,서울 종로구 관철동 32 일대,None,tour.jongno.go.kr,None,#나들이,none
57,세종마을 음식문화거리,먹자골목,서울 종로구 체부동 189-1,None,None,None,#나들이 #포토존,none
58,호랑이동상,동상,서울 종로구 누상동 산 1-28,None,None,None,#일출명소,none
59,청계천 애완동물거리,테마거리,서울 종로구 창신동,None,None,None,None,none
60,조계사 일주문,문,서울 종로구 우정국로 55 (우)03144,None,None,None,None,none
61,무무대전망대,전망대,서울 종로구 옥인동 산 3-13,None,None,None,#나들이 #일출명소,none
62,경복궁 경회루,문화유적,서울 종로구 세종로 1-1,None,www.heritage.go.kr/heri/cul/culSelectDetail.do?pageNo=1_1_2_0&ccbaCpno=1111102240000,None,#나들이 #벚꽃명소 #포토존,none
63,돈의문터,유적지,서울 종로구 평동,None,None,None,#나들이,none
64,종로귀금속거리,테마거리,서울 종로구 봉익동,None,None,None,#나들이,none
65,인왕산 선바위,바위,서울 종로구 무악동 산 3-12,None,None,None,None,none
66,굴보쌈골목,먹자골목,서울 종로구 수표로20길 16-17 (우)03192,None,None,None,None,none
67,서울 한양도성 백악구간,서울한양도성,서울 종로구 삼청동,None,seoulcitywall.seoul.go.kr,None,#걷기좋은,none
68,피맛골,"관광,명소",서울 종로구 종로 19 (우)03157,None,None,None,None,none
69,인왕산둘레길,둘레길,서울 종로구 사직동 산 1-25,None,None,None,#걷기좋은 #단풍명소,none
70,인왕산정상,산봉우리,서울 종로구 옥인동,None,None,None,#일출명소,none
71,경복궁 근정전,문화유적,서울 종로구 사직로 161 (우)03045,None,www.heritage.go.kr/heri/cul/culSelectDetail.do?pageNo=1_1_2_0&ccbaCpno=1111102230000,None,#나들이 #단풍명소 #벚꽃명소 #포토존,주차
72,청운대안내소,관광안내소,서울 종로구 부암동 16-18,None,None,None,#봄나들이,none
73,이상의집,문화유적,서울 종로구 자하문로7길 18 (우)03040,매일 10:00 ~ 17:00,nationaltrustkorea.org,None,#나들이 #이동약자접근,"WIFI, 동물출입, 주차, 휠체어사용, 놀이방, 흡연실"
74,청와대 춘추관,"관광,명소",서울 종로구 청와대로 1 (우)03048,"월,수,목,금,토,일 09:00 ~ 17:30",www.opencheongwadae.kr/main,None,#단풍명소,none
75,홍지문및탕춘대성,문,서울 종로구 홍지동 산 4,None,"www.heritage.go.kr/heri/cul/culSelectDetail.do?VdkVgwKey=21,00330000,11&pageNo=1_1_1_0",None,#단풍명소 #데이트코스 #산책로 #힐링,none
76,칠궁,"관광,명소",서울 종로구 창의문로 12 (우)03048,None,www.royalpalace.go.kr/content/preview/preview04.asp,None,#단풍명소,none
77,동대문종합시장 먹거리장터,먹자골목,서울 종로구 종로6가 94-1,None,None,None,None,none
78,돈의동갈매기살골목,먹자골목,서울 종로구 돈의동,None,None,None,None,none
79,청와대 연풍문,"관광,명소",서울 종로구 청와대로 1 (우)03048,None,None,None,None,none
80,수족관거리,테마거리,서울 종로구 창신동,None,None,None,#나들이,none
81,비봉,산봉우리,서울 종로구 구기동 산 3-1,None,None,None,None,none
82,락희거리,테마거리,서울 종로구 낙원동 289-7,None,None,None,#포토존,none
83,윤동주시인의언덕,"관광,명소",서울 종로구 청운동 7-3,None,cafe.daum.net/ilovedongju,None,#걷기좋은 #데이트코스 #산책로 #일출명소,none
84,말바위안내소,관광안내소,서울 종로구 삼청동 산 2-1,None,None,02-765-0297,#단풍명소 #봄나들이,none
85,낙산공원 제1전망광장,전망대,서울 종로구 동숭동 산 2-32,None,None,None,None,none
86,북한산국립공원 구기탐방지원센터,관광안내소,서울 종로구 비봉2길 90 (우)03001,None,None,02-379-7043,None,none
87,청와대 시화문,문,서울 종로구 궁정동 1-2,None,None,None,None,none
88,낙산,산,서울 종로구 창신동 615-62,None,None,None,None,none
89,칠궁뒷길,등산로,서울 종로구 청운동 89-68,None,www.opencheongwadae.kr/trail-course,None,None,none
90,종로5가곱창골목,먹자골목,서울 종로구 종로5가 194-1 신진시장 먹자골목 내,None,None,None,None,none
91,북한산국립공원 비봉코스,등산로,서울 종로구 구기동 산 3-1,None,www.knps.or.kr/front/portal/visit/visitCourseMain.do?parkId=121500&menuNo=7020092,None,None,none
92,북촌한옥청,"관광,명소",서울 종로구 북촌로12길 29-1 (우)03056,화~일 10:00 ~ 18:00,None,02-763-2133,None,none
93,창덕궁 낙선재,문화유적,서울 종로구 율곡로 99 (우)03072,매일 09:00 ~ 18:00,www.cdg.go.kr/cms_for_cdg/show.jsp?show_no=42&check_no=8&c_relation=11&c_relation2=73,None,#나들이 #벚꽃명소,none
94,홍난파가옥,"생가,고택",서울 종로구 송월1길 38 (우)03178,월~금 11:00 ~ 17:00,lanpa.co.kr,070-8112-7900,#나들이,none
95,청와대 연무관,"관광,명소",서울 종로구 효자로 97 (우)03042,None,None,None,None,none
96,서울 둘레길 스탬프 8-3구간,북한산둘레길,서울 종로구 평창동 산 6-2,None,None,None,None,none
97,국사당,"사당,제단",서울 종로구 통일로18가길 20 (우)03023,None,tour.jongno.go.kr/tour/tour/indvdlz/view.do?nttId=27051&menuNo=2009,None,#나들이,none
98,창의문안내소,관광안내소,서울 종로구 청운동 산 1-1,09:00 ~ 17:00,tour.jongno.go.kr/tour/main/contents.do?menuNo=400767,02-730-9924,#봄나들이,none
99,전태일동상,동상,서울 종로구 종로5가 411-1,None,None,None,None,none
100,삼청동길,드라이브코스,서울 종로구 삼청동 산 2-1,None,None,None,#걷기좋은 #단풍명소 #한국의아름다운길100선,none
101,부암동백석동천,유적지,서울 종로구 부암동 산 25,None,"www.cha.go.kr/korea/heritage/search/Culresult_Db_View.jsp?mc=NS_04_03_01&VdkVgwKey=15,00360000,11",None,#나들이,none
102,경복궁 향원정,문화유적,서울 종로구 사직로 161 (우)03045,None,www.heritage.go.kr/heri/cul/culSelectDetail.do?pageNo=1_1_2_0&ccbaCpno=1121117610000,None,#걷기좋은 #나들이 #단풍명소 #포토존,주차
103,경복궁 신무문,문,서울 종로구 사직로 161 (우)03045,None,www.royalpalace.go.kr/content/data/data_03.asp,None,None,주차
104,황학정,"고궁,궁",서울 종로구 사직로9길 15-32 (우)03027,None,www.hwanghakjeong.org,02-732-1582,None,none
105,향로봉,산봉우리,서울 종로구 구기동,None,None,None,#일출명소,none
106,인왕산둘레길,도보여행,서울 종로구 옥인동 179-1,None,None,None,#걷기좋은 #단풍명소 #드라이브코스 #벚꽃명소,none
107,홍건익가옥,유적지,서울 종로구 필운대로1길 14-4 (우)03039,화~일 10:00 ~ 18:00,www.instagram.com/seoul.hanok,02-735-1374,#나들이,주차
108,한국천주교회창립터 표지석,"탑,비석",서울 종로구 관수동 152-2,None,None,None,None,none
109,사모바위,바위,서울 종로구 구기동,None,None,None,None,none
110,비천당,문화유적,서울 종로구 성균관로 25-1 (우)03063,None,None,None,None,none
111,경희궁 흥화문,문,서울 종로구 새문안로 55 (우)03177,월요일,None,02-724-0274,None,none
112,청와대 영빈문,문,서울 종로구 궁정동 1-2,None,None,None,#산책로 #포토존,none
113,인왕산 기차바위,바위,서울 종로구 부암동 산 22-1,None,None,None,#포토존,none
114,형제봉,산봉우리,서울 종로구 평창동,None,None,None,None,none
115,기생충 포토존,촬영지,서울 종로구 부암동 222,None,None,None,None,none
116,평창계곡,계곡,서울 종로구 평창동,None,None,None,#물놀이,none
117,광화문광장 북측광장,광장,서울 종로구 세종로 1-68,None,None,None,None,none
118,서울명예도로 송해길,도보여행,서울 종로구 낙원동 146-2,None,None,None,#걷기좋은,none
119,의금부 터,유적지,서울 종로구 종로 47 (우)03160,None,None,None,None,none
120,우정총국,문화유적,서울 종로구 우정국로 59 (우)03144,월~금 09:00 ~ 18:00,None,02-734-8369,None,none
121,윤동주하숙집터,"관광,명소",서울 종로구 옥인길 57 (우)03038,None,None,02-2148-2155,None,none
122,윤보선가,"생가,고택",서울 종로구 윤보선길 62 (우)03060,None,"www.cha.go.kr/korea/heritage/search/Culresult_Db_View.jsp?mc=NS_04_03_02&VdkVgwKey=13,04380000,11",None,None,none
123,북촌마을안내소,관광안내소,서울 종로구 북촌로5길 48 (우)03055,매일 09:00 ~ 18:00,None,02-2148-4161,None,none
124,청와대 대정원,"관광,명소",서울 종로구 세종로 1,None,None,None,#봄나들이,none
125,만남의장소,관광안내소,서울 종로구 사직로 161 (우)03045,None,None,None,None,none
126,단군성전,"사당,제단",서울 종로구 인왕산로 22 (우)03027,None,None,None,#나들이,none
127,하늘전망대,전망대,서울 종로구 평창동 산 6-78,None,None,None,None,none
128,장면가옥,"생가,고택",서울 종로구 혜화로5길 53 (우)03068,None,None,None,None,none
129,다시세운광장,광장,서울 종로구 종로3가 143-1,None,sewoon.org,070-4224-9296,None,none
130,창덕궁 종합관람지원센터,문화유적,서울 종로구 율곡로 99 (우)03072,None,None,None,#단풍명소 #벚꽃명소 #포토존,none
131,대학로거리,테마거리,서울 종로구 동숭동 1-151,None,None,None,None,none
132,계동배렴가옥,"생가,고택",서울 종로구 계동길 89 (우)03056,화~일 10:00 ~ 18:00,seoulbrhouse.com,02-765-1375,#포토존,주차
133,탕춘대성암문,유적지,서울 종로구 구기동 산 3-24,None,None,None,None,none
134,서울도보관광코스 북촌한옥마을,도보여행,서울 종로구 가회동,None,None,None,#걷기좋은,none
135,인왕산 범바위,바위,서울 종로구 누상동 산 1-29,None,None,None,#일출명소,none
136,석파정별당,"생가,고택",서울 종로구 자하문로 309 (우)03021,None,None,None,#산책로,none
137,보현봉,산봉우리,서울 종로구 구기동,None,None,None,#봄나들이,none
138,경복궁 건청궁,문화유적,서울 종로구 사직로 161 (우)03045,"월,수,목,금,토,일 09:00 ~ 18:00",www.royalpalace.go.kr/content/data/data_03_11.asp,None,#포토존,주차
139,경기감영터,유적지,서울 종로구 새문안로 9 (우)03181,None,None,None,None,none
140,창경궁 춘당지,저수지,서울 종로구 와룡동,화~일 09:00 ~ 18:00,cgg.cha.go.kr/n_cgg,None,#나들이 #단풍명소 #벚꽃명소,none
141,종묘 외대문,문,서울 종로구 종로 157 (우)03135,None,None,None,None,none
142,최규식경무관동상,동상,서울 종로구 청운동 산 1-1,None,None,None,None,none
143,원서동빨래터,문화유적,서울 종로구 원서동 30,None,None,None,#나들이,none
144,탕춘대성,"산성,성곽",서울 종로구 홍지동 4,None,"www.cha.go.kr/korea/heritage/search/Culresult_Db_View.jsp?VdkVgwKey=21,00330000,11",None,#산책로,none
145,북한산 진흥왕 순수비지,"탑,비석",서울 종로구 구기동 산 3-1,None,None,None,#포토존,none
146,전옥서 터,유적지,서울 종로구 청계천로 41 (우)03188,None,None,None,None,none
147,밤을 걷는 밤 5화(홍제천),밤을걷는밤,서울 종로구 홍지동 99-7,None,tv.kakao.com/channel/3647494/video,None,#걷기좋은,none
148,서울원각사지십층석탑,"탑,비석",서울 종로구 종로 99 (우)03140,None,None,None,None,none
149,경복궁 흥례문,문화유적,서울 종로구 사직로 161 (우)03045,None,None,None,#나들이,주차
150,삼청안내소,관광안내소,서울 종로구 삼청동 산 2-1,None,www.chf.or.kr/cms/content/view/246,None,#벚꽃명소 #봄나들이 #포토존,none
151,낙원동아구찜거리,테마거리,서울 종로구 낙원동,None,None,None,None,none
152,낙산공원 제2전망광장,전망대,서울 종로구 동숭동 산 2-10,None,None,None,None,none
153,좌포도청터,문화유적,서울 종로구 묘동 58-2,None,None,None,None,none
154,서울문묘의은행나무,"관광,명소",서울 종로구 성균관로 25-1 (우)03063,매일 09:00 ~ 18:00,None,None,#단풍명소 #포토존,none
155,청계천,하천,서울 종로구 관수동,None,None,None,None,none
156,원서동고희동가옥,"생가,고택",서울 종로구 창덕궁5길 40 (우)03051,화~일 10:00 ~ 18:00,"www.cha.go.kr/korea/heritage/search/Culresult_Db_View.jsp?mc=NS_04_03_01&VdkVgwKey=79,00840000,11",02-2148-4165,None,주차
157,동관왕묘,"사당,제단",서울 종로구 난계로27길 84 (우)03115,None,None,02-731-0535,None,none
158,종묘 정전,문화유적,서울 종로구 종로 157 (우)03135,매일 09:00 ~ 18:00 (매표시간 17:00까지),"www.heritage.go.kr/heri/cul/culSelectDetail.do?VdkVgwKey=11,02270000,11&amp;pageNo=5_1_1_0",None,#나들이 #벚꽃명소,주차
159,운경고택,"생가,고택",서울 종로구 인왕산로 7 (우)03028,None,None,None,#봄나들이,none
160,돌산마을 조망점,전망대,서울 종로구 창신동 23-785,None,None,None,None,none
161,청와대 상춘재,"관광,명소",서울 종로구 청와대로 1 (우)03048,"월,수,목,금,토,일 09:00 ~ 17:30",www.opencheongwadae.kr,None,#단풍명소 #산책로 #포토존,none
162,우포도청터,종교유적지,서울 종로구 종로1가 89-7,None,None,None,None,none
163,석정보름우물,문화유적,서울 종로구 계동,None,None,None,None,none
164,동십자각,문화유적,서울 종로구 삼청로 1 (우)03045,None,None,None,#나들이 #단풍명소,none
165,권율장군집터,유적지,서울 종로구 사직로2길 14 (우)03026,None,None,None,None,none
166,세운옥상,전망대,서울 종로구 청계천로 159 (우)03194,매일 09:00 ~ 20:00,sewoon.org,02-2267-5689,#나들이,none
167,형조 터,문화유적,서울 종로구 세종로 81-14,None,None,None,None,none
168,창경궁 함양문,문,서울 종로구 와룡동 2-1,None,None,None,#단풍명소 #포토존,none
169,보현산신각,"사당,제단",서울 종로구 평창동 541-1,None,None,None,None,none
170,서울도보관광코스 낙산성곽,도보여행,서울 종로구 창신동,None,None,None,#걷기좋은,none
171,한화불꽃길,테마거리,서울 종로구 관철동 37-9,None,None,None,None,none
172,3.1운동기념터 보신각앞,"탑,비석",서울 종로구 종로 54 (우)03189,None,None,None,None,none
173,평창공원 지킴터,"관광,명소",서울 종로구 평창6길 81 (우)03003,None,None,None,None,none
174,기린교,"관광,명소",서울 종로구 옥인동 179-1,None,None,None,None,none
175,청와대 대통령관저,"관광,명소",서울 종로구 청와대로 1 (우)03048,None,www.opencheongwadae.kr/introduce-map03,None,None,none
176,지봉선생비우당옛터,"생가,고택",서울 종로구 창신동 9-471,None,None,None,None,none
177,인왕산 성덕사약수터,"샘터,약수터",서울 종로구 부암동 산 17-1,None,None,None,None,none
178,밤을 걷는 밤 8화(행촌동 송월동),밤을걷는밤,서울 종로구 신문로2가 2-1,None,tv.kakao.com/channel/3647494/video,None,#걷기좋은,none
179,혜화동 필리핀시장,"관광,명소",서울 종로구 혜화동 90-14,None,None,None,None,none
180,서울한양도성,"산성,성곽",서울 종로구 부암동 산 22-3,None,seoulcitywall.seoul.go.kr,02-120,None,none
181,창신동족발골목,먹자골목,서울 종로구 종로51길 23 (우)03106,None,None,None,None,none
182,청운대쉼터,등산로,서울 종로구 삼청동 산 2-1,None,None,None,#봄나들이,none
183,사직단 대문,문,서울 종로구 사직로 89 (우)03027,None,None,None,None,none
184,경복궁 교태전,문화유적,서울 종로구 세종로 1-1,None,None,None,None,주차
185,핸더스,"도자기,도예촌",서울 종로구 북촌로1길 30-4 (우)03060,None,None,None,#제로페이,none
186,창덕궁 인정전,문화유적,서울 종로구 율곡로 99 (우)03072,None,www.cdg.go.kr/cms_for_cdg/show.jsp?show_no=38&check_no=8&c_relation=7&c_relation2=69,None,None,none
187,백악마루,바위,서울 종로구 부암동,None,None,None,None,none
188,경복궁 생물방,문화유적,서울 종로구 세종로 1-1,None,None,None,#포토존,none
189,동대문성곽공원 광장,광장,서울 종로구 종로6가 70,None,None,None,None,none
190,경복궁 영추문,문,서울 종로구 사직로 161 (우)03045,None,None,None,None,주차
191,백송터,문화유적,서울 종로구 통의동 35-15,None,None,None,#봄나들이,none
192,인왕산길,드라이브코스,서울 종로구 부암동 76-2,None,None,None,#단풍명소,none
193,남인사 안내소,관광안내소,서울 종로구 인사동길 6 (우)03163,None,None,None,None,none
194,흥례문광장,광장,서울 종로구 효자로 12 (우)03045,None,None,None,None,none
195,청와대 대통령비서실,"관광,명소",서울 종로구 청와대로 1 (우)03048,None,None,None,None,none
196,운현궁 양관,문화유적,서울 종로구 삼일대로 460 (우)03131,None,www.unhyeongung.or.kr,None,None,none
197,돈화문 한옥마을,"관광,명소",서울 종로구 묘동 141-2,None,None,None,None,none
198,3.1독립선언광장,광장,서울 종로구 인사동 194-39,None,seoul100.kr,None,None,none
199,청계천,하천,서울 종로구 창신동,None,None,None,#나들이 #산책로 #포토존,none
200,필운대,바위,서울 종로구 필운동 산 1-2,None,None,None,None,none
201,서울문묘와성균관,"사당,제단",서울 종로구 성균관로 25-1 (우)03063,None,www.heritage.go.kr/heri/cul/culSelectDetail.do?pageNo=5_1_1_0&ccbaCpno=1331101430000,None,#단풍명소 #포토존,none
202,경복궁 집옥재,문화유적,서울 종로구 사직로 161 (우)03045,None,www.royalpalace.go.kr/html/about/about01.jsp?dep1=5&dep2=1,None,#포토존,none
203,밤을 걷는 밤 15화(창신동),밤을걷는밤,서울 종로구 창신동 263-3,None,tv.kakao.com/channel/3647494/video,None,#걷기좋은,none
204,경복궁 강녕전,문화유적,서울 종로구 세종로 1-1,"월,수,목,금,토,일 09:00 ~ 18:00",www.royalpalace.go.kr/html/data/data_03_04.jsp?dep1=3&dep2=3,None,None,주차
205,청계천,하천,서울 종로구 종로5가,None,None,None,#나들이 #산책로,none
206,오간수문지,유적지,서울 종로구 창신동 436-91,None,None,None,None,none
207,서울 고종 어극 40년 칭경기념비,"탑,비석",서울 종로구 세종로 1-68,None,"www.heritage.go.kr/heri/cul/culSelectDetail.do?VdkVgwKey=13,01710000,11&pageNo=1_1_1_0",None,None,none
208,광화문관광안내소,관광안내소,서울 종로구 세종로 215,None,www.sta.or.kr/new_home,02-735-8688,None,none
209,옥인동박노수가옥,"생가,고택",서울 종로구 옥인1길 34 (우)03034,None,"www.cha.go.kr/korea/heritage/search/Culresult_Db_View.jsp?VdkVgwKey=31,00010000,11",None,None,none
210,이화달팽이길,테마거리,서울 종로구 이화동 9-244,None,None,None,None,none
211,청운대,"관광,명소",서울 종로구 부암동 산 2-4,None,None,None,None,none
212,승가봉,산봉우리,서울 종로구 구기동,None,None,None,#일출명소 #포토존,none
213,인왕산 해골바위,바위,서울 종로구 무악동 산 3-4,None,None,None,#일출명소,none
214,인왕정,"관광,명소",서울 종로구 무악동 산 3-4,None,None,None,None,none
215,우미관터,"탑,비석",서울 종로구 종로 84 (우)03190,None,None,None,None,none
216,밤을 걷는 밤 14화(종로),밤을걷는밤,서울 종로구 삼일대로19길 15 (우)03190,None,tv.kakao.com/channel/3647494/video,None,#걷기좋은,none
217,토전김익영도자예술,"도자기,도예촌",서울 종로구 창덕궁길 30 (우)03072,None,toujun.co.kr,None,#제로페이,none
218,창덕궁 금호문,문,서울 종로구 율곡로 99 (우)03072,None,www.cdg.go.kr/bulletin/list01.htm?TbCode=10,None,#봄나들이,주차
219,동망봉,"탑,비석",서울 종로구 동망산길 150 (우)03110,None,None,None,None,none
220,인왕산 인왕천약수터,"샘터,약수터",서울 종로구 옥인동 산 3-14,None,None,None,None,none
221,경복궁 계조당,문화유적,서울 종로구 사직로 161 (우)03045,None,None,None,None,none
