trip_name,trip_category_detail,trip_address,trip_times,place_page,trip_phone,info_content,place_category_group
그리드인,호텔,서울 종로구 종로18길 9-6 (우)03192,-,www.hotelsouthkorea.com/grid-inn-hotel,-,휠체어사용,숙소
호텔큐비,"여관,모텔",서울 종로구 종로 322-10 (우)03121,-,-,02-743-1294,주차,숙소
스타호스텔 동대문스위트,유스호스텔,서울 종로구 대학로2길 15 (우)03126,-,www.hotelsouthkorea.com/starhostel-dongdaemun-suite,-,none,숙소
IMT모텔,"여관,모텔",서울 종로구 수표로18가길 8 (우)03192,-,www.hotelimt.com,02-2266-9700,none,숙소
세림호텔,호텔,서울 종로구 인사동길 37-11 (우)03149,-,www.hotelsouthkorea.com/saerim-hotel,02-739-3377,none,숙소
쿠즈호텔,"여관,모텔",서울 종로구 돈화문로11가길 83 (우)03131,-,-,02-764-5778,none,숙소
월하여관,"여관,모텔",서울 종로구 율곡로10길 24 (우)03134,-,-,-,none,숙소
수모텔,"여관,모텔",서울 종로구 사직로9길 10 (우)03027,-,-,02-738-4622,none,숙소
예하도예 게스트하우스,게스트하우스,서울 종로구 인사동12길 10 (우)03146,-,yehadoye.com,02-722-3619,none,숙소
스위스모텔,"여관,모텔",서울 종로구 율곡로 230-23 (우)03123,-,www.hotelsouthkorea.com/swiss-motel,-,none,숙소
시네마모텔,"여관,모텔",서울 종로구 수표로28길 12-5 (우)03133,-,-,02-3676-9664,none,숙소
소현당,게스트하우스,서울 종로구 율곡로1길 74-11 (우)03062,-,-,02-725-7979,none,숙소
통통쁘띠호텔,호텔,서울 종로구 율곡로10길 91 (우)03134,-,-,02-744-3210,none,숙소
호텔스타,"여관,모텔",서울 종로구 돈화문로9길 29 (우)03139,-,-,-,none,숙소
T모텔,"여관,모텔",서울 종로구 수표로22길 20-3 (우)03139,-,-,02-743-4845,none,숙소
모꼬지한옥게스트하우스,한옥숙소,서울 종로구 혜화로16길 13-6 (우)03067,-,www.instagram.com/moggoji1306,02-744-2837,none,숙소
라엘하우스,게스트하우스,서울 종로구 평창길 338 (우)03004,-,www.airbnb.co.kr/rooms/16564890,02-394-7577,none,숙소
올리브호텔,"여관,모텔",서울 종로구 난계로29길 56 (우)03115,-,-,02-2237-5050,none,숙소
유에이치스위트 더 에비뉴,호텔,서울 종로구 종로12길 21 평구빌딩 3~5층 (우)03190,매일 00:00 ~ 24:00,-,0507-1379-5957,none,숙소
북촌마루한옥게스트하우스,한옥숙소,서울 종로구 창덕궁길 152 (우)03051,-,www.hotelsouthkorea.com/bukchonmaru-hanok-guesthouse,010-3253-8751,WIFI,숙소
그린파크모텔,"여관,모텔",서울 종로구 종로56길 14 (우)03114,-,-,02-2234-4552,none,숙소
호텔라붐,"여관,모텔",서울 종로구 돈화문로9길 37 (우)03139,-,-,-,none,숙소
호텔노바,"여관,모텔",서울 종로구 수표로26길 7 (우)03139,-,-,02-3675-2112,none,숙소
비원게스트하우스,게스트하우스,서울 종로구 돈화문로11가길 77-4 (우)03131,-,www.hotelsouthkorea.com/beewon-guesthouse,02-765-0670,주차,숙소
R게스트하우스,게스트하우스,서울 종로구 수표로28길 12-3 (우)03133,-,www.hotelsouthkorea.com/insadong-r-guesthouse,-,WIFI,숙소
UH 스위트 코너스톤,호텔,"서울 종로구 우정국로2길 29 4,5층 (우)03189",-,booking.naver.com/booking/3/bizes/356077,0507-1391-0136,WIFI 동물출입 휠체어사용,숙소
학민재,숙박,서울 종로구 북촌로11가길 28-2 (우)03052,-,blog.naver.com/hdoodoo32,02-744-0099,none,숙소
팰리스모텔,"여관,모텔",서울 종로구 창경궁로 258-6 (우)03077,-,-,-,none,숙소
공심가 게스트하우스,게스트하우스,서울 종로구 율곡로1길 46 (우)03062,-,gongsimga.modoo.at,02-533-7898,none,숙소
아미가 인서울,호텔,서울 종로구 종로31길 46-8 (우)03129,-,www.hotelsouthkorea.com/amiga-inn-seoul-hotel,-,none,숙소
혜화여관,"여관,모텔",서울 종로구 대학로11길 37 (우)03079,-,-,-,WIFI 동물출입 휠체어사용 흡연실,숙소
호텔케이월드,"여관,모텔",서울 종로구 종로35길 10 (우)03126,-,-,-,none,숙소
자하문호텔,호텔,서울 종로구 진흥로 425 (우)03000,-,-,02-395-7771,none,숙소
아라호텔,"여관,모텔",서울 종로구 난계로29길 60 (우)03115,매일 09:00 ~ 24:00,-,-,WIFI 흡연실,숙소
풀리미니호텔,호텔,서울 종로구 종로18길 5 (우)03192,매일 08:00 ~ 23:00,www.hotelsouthkorea.com/fully-mini-hotel,02-2261-2558,none,숙소
호텔피터캣,"여관,모텔",서울 종로구 돈화문로11나길 59 (우)03132,-,www.hotelsouthkorea.com/petercat-hotel-insadong,-,none,숙소
호텔에비뉴162,"여관,모텔",서울 종로구 수표로22길 9 (우)03139,-,-,02-765-3187,none,숙소
셀립 순라,호텔,서울 종로구 율곡로10길 11 (우)03134,매일 00:00 ~ 24:00,celib.kr,-,WIFI 주차,숙소
쉘라근,"여관,모텔",서울 종로구 창경궁로 229-8 (우)03073,-,blog.naver.com/ksj759,02-762-4620,none,숙소
탑호텔앤레지던스,호텔,서울 종로구 삼일대로28길 14 (우)03133,매일 00:00 ~ 24:00,-,02-765-5551,none,숙소
인사호스텔,"여관,모텔",서울 종로구 인사동14길 48 (우)03146,-,-,-,none,숙소
나그네하우스,게스트하우스,서울 종로구 자하문로1나길 6 (우)03041,매일 11:50 ~ 23:00,www.nagnehouse.com,02-725-7377,WIFI 주차,숙소
비빔밥게스트하우스,게스트하우스,서울 종로구 사직로9가길 5-7 (우)03027,매일 00:00 ~ 24:00,-,070-8153-4040,none,숙소
헬로인호텔,"여관,모텔",서울 종로구 돈화문로9길 38 (우)03139,-,-,-,none,숙소
호텔가온,"여관,모텔",서울 종로구 종로48길 19 (우)03119,-,-,02-745-0289,WIFI 주차,숙소
인우하우스,게스트하우스,서울 종로구 계동6길 9 (우)03057,-,pridge.kr/v2/camping/campinginfo/20508,010-2204-7612,none,숙소
스카이모텔,"여관,모텔",서울 종로구 종로35가길 3 (우)03126,-,-,-,none,숙소
와모텔 종로점,"여관,모텔",서울 종로구 종로35길 30-8 (우)03126,-,-,02-3675-1117,none,숙소
남현당,게스트하우스,서울 종로구 삼일대로 446-15 (우)03132,-,-,02-2659-8788,WIFI,숙소
청계하우스,게스트하우스,서울 종로구 청계천로 189-1 (우)03195,매일 00:00 ~ 24:00,www.cheonggyehaus.com,02-596-1777,WIFI,숙소
우게스트하우스,게스트하우스,"서울 종로구 삼청로 22 영정빌딩 4,5층 (우)03062",-,www.facebook.com/wooguest,-,none,숙소
하이스테이 종로,게스트하우스,서울 종로구 보문로 15-1 1~5층 (우)03111,월~금 11:00 ~ 22:00,highstayjongro.modoo.at,010-4469-7088,none,숙소
달지게스트하우스,게스트하우스,서울 종로구 종로17길 46 (우)03140,-,www.instagram.com/daljee_guesthouse,-,none,숙소
순라스테이,"여관,모텔",서울 종로구 율곡로10길 17 (우)03134,매일 00:00 ~ 24:00,sulla.modoo.at,02-3675-2205,none,숙소
웰컴미스테익스하우스,게스트하우스,서울 종로구 창의문로7길 27 (우)03022,매일 00:00 ~ 24:00,www.instagram.com/welcomemistakes_house,0507-1346-4629,WIFI 동물출입 주차 휠체어사용 놀이방 흡연실,숙소
한옥유진하우스,한옥숙소,서울 종로구 혜화로12길 36 (우)03067,-,eugenehouse.modoo.at,010-5069-3348,none,숙소
피카소모텔,"여관,모텔",서울 종로구 수표로22길 11 (우)03139,매일 00:00 ~ 24:00,-,02-741-6389,none,숙소
종로하루,숙박,서울 종로구 창경궁로21가길 5-3 1층 (우)03136,매일 00:00 ~ 24:00,m.booking.naver.com/booking/3/bizes/936952/items/5166857?area=plt,0504-0904-2497,WIFI 동물출입 주차 휠체어사용 놀이방 흡연실,숙소
Hide & Seek 게스트하우스,게스트하우스,서울 종로구 자하문로6길 14 (우)03044,-,www.hidenseek.co.kr,02-6925-5916,none,숙소
서촌 영락재,숙박,서울 종로구 필운대로5가길 29 (우)03037,매일 00:00 ~ 24:00,seochonyoungrakjae.com,0504-0904-2001,WIFI 주차 흡연실,숙소
청연재,호텔,서울 종로구 북촌로6길 13-2 (우)03056,-,www.hcyj.kr,02-744-9200,none,숙소
스테이다반사,펜션,서울 종로구 자하문로1다길 6-11 (우)03041,매일 00:00 ~ 24:00,map.naver.com/v5/entry/place/1735637512?placePath=%2Fhome,010-9913-8299,WIFI 동물출입 주차 휠체어사용 놀이방 흡연실,숙소
스타호스텔동대문점,"여관,모텔",서울 종로구 대학로2길 25 (우)03126,-,-,-,none,숙소
복합한옥공간 곳게스트하우스,한옥숙소,서울 종로구 계동길 52-11 (우)03057,-,www.instagram.com/theplaceseoul,010-3255-1289,none,숙소
제이힐하우스,게스트하우스,서울 종로구 율곡로6길 26-12 (우)03131,매일 08:30 ~ 20:00,www.jhillhouse.com,02-765-7539,none,숙소
더채 갤러리,숙박,서울 종로구 자하문로 76-5 (우)03042,매일 00:00 ~ 24:00,www.thechae.co.kr,1544-1431,none,숙소
영진,숙박,서울 종로구 보문로1길 7-22 (우)03111,-,-,02-928-5030,none,숙소
호텔가온골든파크,호텔,서울 종로구 종로44길 77 (우)03120,-,-,-,none,숙소
시우 한옥게스트하우스,한옥숙소,서울 종로구 자하문로19길 16-5 (우)03035,-,www.xiwoo.co.kr,02-6326-0494,none,숙소
소풍모텔,"여관,모텔",서울 종로구 대명길 19-4 (우)03078,-,-,02-766-3393,none,숙소
혜화1938,펜션,서울 종로구 성균관로16길 7 (우)03068,-,pridge.kr/v2/camping/campinginfo/20522,02-765-8542,none,숙소
서울이야기한옥,한옥숙소,서울 종로구 율곡로5길 3-19 (우)03060,-,blog.naver.com/seoulstory97,-,none,숙소
디귿집,한옥숙소,서울 종로구 북촌로12길 35-3 (우)03056,-,digeuthouse.com,0507-1303-2174,none,숙소
빙고호스텔,펜션,서울 종로구 종로 63-13 (우)03164,-,-,-,none,숙소
버틀러리 브릭스,숙박,서울 종로구 성균관로1길 6-2 (우)03073,-,-,-,none,숙소
노스탤지어 웰컴센터,호텔,서울 종로구 북촌로8길 1 1층 (우)03056,매일 09:00 ~ 18:00,www.nostalgiaseoul.com,02-3673-3666,none,숙소
호텔그림,"여관,모텔",서울 종로구 수표로26길 9 (우)03139,-,-,02-741-1701,none,숙소
한옥201,한옥숙소,서울 종로구 북촌로 40-3 (우)03056,-,-,010-3355-7877,none,숙소
아이콘 호텔,호텔,서울 종로구 삼일대로32가길 20 (우)03132,-,-,02-766-3438,none,숙소
다온 한옥게스트하우스,한옥숙소,서울 종로구 계동길 85-5 (우)03056,-,-,-,none,숙소
고궁호텔,호텔,서울 종로구 율곡로 164 (우)03136,-,-,02-741-3831,none,숙소
광화모텔,"여관,모텔",서울 종로구 새문안로5길 5-3 (우)03182,-,-,-,none,숙소
동대문관광호텔,호텔,서울 종로구 종로 286 7층 709호 (우)03119,-,-,-,주차,숙소
DMYK,호텔,서울 종로구 종로65길 12-28 (우)03112,-,-,-,none,숙소
노스텔지어 블루재,호텔,서울 종로구 북촌로11가길 5 (우)03052,-,-,-,none,숙소
안길사가,호텔,서울 종로구 북촌로1길 24-2 1층 (우)03060,매일 00:00 ~ 24:00,-,010-2024-1133,none,숙소
썸웨어,숙박,서울 종로구 옥인6길 37-5 (우)03038,-,somewhere.stayfolio.biz,0504-0904-2345,주차,숙소
한옥게스트하우스동촌재,한옥숙소,서울 종로구 자하문로11길 21-10 (우)03036,-,dongchonjae.modoo.at,010-9127-5227,none,숙소
경북궁서촌크리스찬홈,숙박,서울 종로구 옥인6길 4 (우)03038,-,-,-,none,숙소
신영모텔,"여관,모텔",서울 종로구 세검정로 238 (우)03017,-,-,02-396-1447,none,숙소
청춘재,게스트하우스,서울 종로구 북촌로11가길 21 (우)03052,-,www.simsimheon.com/cheongchunjae,02-763-3393,none,숙소
서울한옥스테이 jnpstay,한옥숙소,서울 종로구 자하문로1나길 7-28 (우)03041,매일 00:00 ~ 24:00,blog.naver.com/jnpstay,010-5720-6800,WIFI 동물출입 주차 휠체어사용 흡연실,숙소
호텔코타,"여관,모텔",서울 종로구 종로 294 4층 (우)03119,-,kota.okgo.tw,010-4793-8727,WIFI 주차,숙소
노스텔지어 히든재,호텔,서울 종로구 북촌로9길 16-1 (우)03055,-,nostalgiaseoul.com,02-3673-3666,WIFI 동물출입 주차,숙소
호스텔서울,게스트하우스,서울 종로구 보문로9길 9 (우)03111,-,www.hotelsouthkorea.com/hostel-seoul,-,none,숙소
독립문모텔,"여관,모텔",서울 종로구 통일로 220 (우)03029,매일 00:00 ~ 24:00,-,-,WIFI 동물출입 주차 흡연실,숙소
시티파크호텔,"여관,모텔",서울 종로구 돈화문로 85 (우)03131,-,www.hotelsouthkorea.com/city-park-hotel,-,none,숙소
호텔팝3,"여관,모텔",서울 종로구 수표로22길 10 (우)03139,-,www.hotelsouthkorea.com/hotel-pop3-jongno,02-744-7744,none,숙소
세화호스텔,게스트하우스,서울 종로구 삼일대로32가길 50 (우)03132,-,www.hotelsouthkorea.com/goodstay-saewha-hostel,02-765-2881,none,숙소
게스트하우스 더킴스,게스트하우스,서울 종로구 백석동1길 13 (우)03020,-,blog.naver.com/ghbuamthekims,010-9073-4457,WIFI 동물출입 주차 휠체어사용 놀이방 흡연실,숙소
정연재,게스트하우스,서울 종로구 삼청로7길 19-14 (우)03054,-,www.jeongyeonjae.com,010-6837-2044,none,숙소
시통하우스,게스트하우스,서울 종로구 계동6길 10 (우)03057,-,-,010-4232-4534,WIFI 동물출입,숙소
호텔팝2,"여관,모텔",서울 종로구 수표로22길 14 (우)03139,-,-,02-744-7070,none,숙소
누와,숙박,서울 종로구 필운대로5나길 3-1 (우)03038,-,www.nuwa.co.kr,0504-0904-2313,주차,숙소
오마이게스트하우스,게스트하우스,서울 종로구 자하문로 97-13 (우)03032,-,ohmyguesthouse.modoo.at,0507-1303-5402,WIFI,숙소
한옥에세이,한옥숙소,서울 종로구 필운대로3길 12 (우)03039,-,www.hanokessay.com,0504-0904-2431,none,숙소
호스텔클로이,유스호스텔,서울 종로구 종로16길 32-4 (우)03191,-,-,02-2268-8011,none,숙소
Z호텔,"여관,모텔",서울 종로구 수표로22길 23 (우)03139,-,-,-,none,숙소
보안스테이,게스트하우스,"서울 종로구 효자로 33 3,4층 (우)03044",-,b1942.com,02-720-8409,none,숙소
북촌소선재,게스트하우스,서울 종로구 율곡로1길 74-11 (우)03062,-,-,-,none,숙소
종로연당한옥스테이,한옥숙소,서울 종로구 계동6길 3 (우)03057,-,www.facebook.com/yeondangguesthouse,010-7735-5916,none,숙소
만남모텔,숙박,서울 종로구 보문로1길 7-20 (우)03111,-,-,02-789-4567,none,숙소
엘케이호스텔,"여관,모텔",서울 종로구 종로 232-5 (우)03196,-,-,02-2263-0218,none,숙소
오마이인 동대문점,"여관,모텔",서울 종로구 종로 322-6 (우)03121,-,ohmyhotel.com,-,none,숙소
눈꽃게스트하우스,게스트하우스,서울 종로구 성균관로 12 (우)03074,-,www.hotelsouthkorea.com/snowflower-guesthouse,-,none,숙소
호텔제로,"여관,모텔",서울 종로구 창경궁로 135-9 (우)03136,-,-,02-764-5533,none,숙소
심산재 한옥스테이게스트하우스,한옥숙소,서울 종로구 옥인1길 10 (우)03034,-,-,-,none,숙소
스타호스텔 인사동점,유스호스텔,서울 종로구 돈화문로11다길 9 (우)03133,-,www.facebook.com/starhostelinsadong,070-8668-5727,none,숙소
짝모텔,"여관,모텔",서울 종로구 대명1길 18 (우)03078,-,-,-,none,숙소
학민재 한옥스테이게스트하우스,한옥숙소,서울 종로구 북촌로11가길 28-2 (우)03052,-,blog.naver.com/hakminjae,02-744-0099,none,숙소
토이하우스,게스트하우스,서울 종로구 종로52길 18-6 (우)03120,-,blog.naver.com/jihyuk9,010-8227-7891,none,숙소
서촌게스트하우스,게스트하우스,서울 종로구 자하문로7길 28-3 (우)03040,-,www.seochonguesthouse.com,02-473-9680,none,숙소
